URL,TTL,Message
parniplus.com,1,timed out
parniplus.com,2,timed out
parniplus.com,3,timed out
parniplus.com,4,timed out
parniplus.com,5,timed out
parniplus.com,6,timed out
parniplus.com,7,timed out
parniplus.com,8,timed out
parniplus.com,9,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,10,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,11,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,12,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,13,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,14,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,15,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:32 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,16,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:33 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
parniplus.com,17,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 08:24:33 GMT
Connection: keep-alive
Via: http/1.1 soyou20.prod.deflect.ca (ApacheTrafficServer/7.1.8 [uSc s f p eS:tNc  i p s ])
Server: ATS/7.1.8
Cache-Control: no-store
Content-Type: text/html
Content-Language: en
Content-Length: 297

<HTML>
<HEAD>
<TITLE>Not Found on Accelerator</TITLE>
</HEAD>

<BODY BGCOLOR=""white"" FGCOLOR=""black"">
<H1>Not Found on Accelerator</H1>
<HR>

<FONT FACE=""Helvetica,Arial""><B>
Description: Your request on the specified host was not found.
Check the location and try again.
</B></FONT>
<HR>
</BODY>
"
