URL,TTL,Message
breakingnews.ie,1,timed out
breakingnews.ie,2,timed out
breakingnews.ie,3,timed out
breakingnews.ie,4,timed out
breakingnews.ie,5,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d1b9bcfdfabd6d8b5756ecdf7a06564c41579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61aa8e883fe-KBP

10
error code: 1001
0

"
breakingnews.ie,6,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d8e96cee6c9a46524cf92153d0132c0301579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61ac9788aba-KBP

10
error code: 1001
0

"
breakingnews.ie,7,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d8d07763508c469bc846335d40a3d29a81579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c289c8b7a-KBP

10
error code: 1001
0

"
breakingnews.ie,8,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d1fd64976b9ec8f204832a85bbd52bf171579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c3c2a8241-KBP

10
error code: 1001
0

"
breakingnews.ie,9,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d86ba6225f0b3dbb8387cd169721aa3e51579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c4ff6843a-KBP

10
error code: 1001
0

"
breakingnews.ie,10,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d17f9c30d7b48fe5c8bc2bb11932b232a1579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c4f16824d-KBP

10
error code: 1001
0

"
breakingnews.ie,11,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d1d5c0ccdcfc723d84da8c44243585f551579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c5b9e8253-KBP

10
error code: 1001
"
breakingnews.ie,12,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 07:01:52 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d12cd586f8de28909f5a2d97d1582b4e71579762912; expires=Sat, 22-Feb-20 07:01:52 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 07:01:58 GMT
Server: cloudflare
CF-RAY: 5597e61c58a88b86-KBP

10
error code: 1001
0

"
