URL,TTL,Message
carnegie.ru,1,timed out
carnegie.ru,2,timed out
carnegie.ru,3,timed out
carnegie.ru,4,timed out
carnegie.ru,5,timed out
carnegie.ru,6,timed out
carnegie.ru,7,timed out
carnegie.ru,8,"HTTP/1.1 503 Service Unavailable
Content-Type: text/html
Cache-Control: no-cache
Connection: close
Content-Length: 680
X-Iinfo: 10-73254445-0 0NNN RT(1579763465321 0) q(0 -1 -1 -1) r(1 -1)

<html style=""height:100%""><head><META NAME=""ROBOTS"" CONTENT=""NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""></head><body style=""margin:0px;height:100%""><iframe id=""main-iframe"" src=""/_Incapsula_Resource?CWUDNSAI=5&xinfo=10-73254445-0%200NNN%20RT%281579763465321%200%29%20q%280%20-1%20-1%20-1%29%20r%281%20-1%29&incident_id=0-222147622805470234&edet=22&cinfo=ffffffff&rpinfo=0"" frameborder=0 width=""100%"" height=""100%"" marginheight=""0px"" marginwidth=""0px"">Request unsuccessful. Incapsula incident ID: 0-222147622805470234</iframe></body></html>"
carnegie.ru,9,"HTTP/1.1 503 Service Unavailable
Content-Type: text/html
Cache-Control: no-cache
Connection: close
Content-Length: 679
X-Iinfo: 9-53124087-0 0NNN RT(1579763465515 0) q(0 -1 -1 -1) r(1 -1)

<html style=""height:100%""><head><META NAME=""ROBOTS"" CONTENT=""NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""></head><body style=""margin:0px;height:100%""><iframe id=""main-iframe"" src=""/_Incapsula_Resource?CWUDNSAI=5&xinfo=9-53124087-0%200NNN%20RT%281579763465515%200%29%20q%280%20-1%20-1%20-1%29%20r%281%20-1%29&incident_id=0-162709136604429337&edet=22&cinfo=ffffffff&rpinfo=0"" frameborder=0 width=""100%"" height=""100%"" marginheight=""0px"" marginwidth=""0px"">Request unsuccessful. Incapsula incident ID: 0-162709136604429337</iframe></body></html>"
carnegie.ru,10,"HTTP/1.1 503 Service Unavailable
Content-Type: text/html
Cache-Control: no-cache
Connection: close
Content-Length: 679
X-Iinfo: 8-45682084-0 0NNN RT(1579763465719 0) q(0 -1 -1 -1) r(1 -1)

<html style=""height:100%""><head><META NAME=""ROBOTS"" CONTENT=""NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""></head><body style=""margin:0px;height:100%""><iframe id=""main-iframe"" src=""/_Incapsula_Resource?CWUDNSAI=5&xinfo=8-45682084-0%200NNN%20RT%281579763465719%200%29%20q%280%20-1%20-1%20-1%29%20r%281%20-1%29&incident_id=0-143050345441164312&edet=22&cinfo=ffffffff&rpinfo=0"" frameborder=0 width=""100%"" height=""100%"" marginheight=""0px"" marginwidth=""0px"">Request unsuccessful. Incapsula incident ID: 0-143050345441164312</iframe></body></html>"
carnegie.ru,11,"HTTP/1.1 503 Service Unavailable
Content-Type: text/html
Cache-Control: no-cache
Connection: close
Content-Length: 679
X-Iinfo: 9-53124171-0 0NNN RT(1579763465906 0) q(0 -1 -1 -1) r(0 -1)

<html style=""height:100%""><head><META NAME=""ROBOTS"" CONTENT=""NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""></head><body style=""margin:0px;height:100%""><iframe id=""main-iframe"" src=""/_Incapsula_Resource?CWUDNSAI=5&xinfo=9-53124171-0%200NNN%20RT%281579763465906%200%29%20q%280%20-1%20-1%20-1%29%20r%280%20-1%29&incident_id=0-162709364237696025&edet=22&cinfo=ffffffff&rpinfo=0"" frameborder=0 width=""100%"" height=""100%"" marginheight=""0px"" marginwidth=""0px"">Request unsuccessful. Incapsula incident ID: 0-162709364237696025</iframe></body></html>"
