URL,TTL,Message
cripo.com.ua,1,timed out
cripo.com.ua,2,timed out
cripo.com.ua,3,timed out
cripo.com.ua,4,timed out
cripo.com.ua,5,timed out
cripo.com.ua,6,timed out
cripo.com.ua,7,timed out
cripo.com.ua,8,timed out
cripo.com.ua,9,timed out
cripo.com.ua,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,18,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,19,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:45 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,20,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,21,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,22,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,23,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,24,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,25,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,26,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,27,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,28,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
cripo.com.ua,29,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.1
Date: Wed, 22 Jan 2020 21:30:46 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://cripo.com.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
"
