URL,TTL,Message
ikstv.ru,1,timed out
ikstv.ru,2,timed out
ikstv.ru,3,timed out
ikstv.ru,4,timed out
ikstv.ru,5,timed out
ikstv.ru,6,timed out
ikstv.ru,7,timed out
ikstv.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:53 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:53 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:53 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:53 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,18,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
ikstv.ru,19,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.2
Date: Wed, 22 Jan 2020 23:54:54 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://ikstv.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.2</center>
</body>
</html>
"
