URL,TTL,Message
itar-tass.com,1,timed out
itar-tass.com,2,timed out
itar-tass.com,3,timed out
itar-tass.com,4,timed out
itar-tass.com,5,timed out
itar-tass.com,6,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:57:59 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,7,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:57:59 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,8,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:57:59 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,9,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:57:59 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,10,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:57:59 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,11,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:58:02 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,12,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:58:05 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,13,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:58:05 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,14,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:58:08 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
itar-tass.com,15,"HTTP/1.1 502 Bad Gateway
Server: nginx/1.15.7
Date: Thu, 23 Jan 2020 08:58:11 GMT
Content-Type: text/html
Content-Length: 537
Connection: keep-alive
ETag: ""5dcab53a-219""

<!DOCTYPE html>
<html>
<head>
<title>Error</title>
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>An error occurred.</h1>
<p>Sorry, the page you are looking for is currently unavailable.<br/>
Please try again later.</p>
<p>If you are the system administrator of this resource then you should check
the <a href=""http://nginx.org/r/error_log"">error log</a> for details.</p>
<p><em>Faithfully yours, nginx.</em></p>
</body>
</html>
"
