URL,TTL,Message
light.wmtransfer.com,1,timed out
light.wmtransfer.com,2,timed out
light.wmtransfer.com,3,timed out
light.wmtransfer.com,4,timed out
light.wmtransfer.com,5,timed out
light.wmtransfer.com,6,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:20 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,7,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:20 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,8,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:20 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,9,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:20 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,10,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:20 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,11,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:23 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,12,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:23 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
light.wmtransfer.com,13,"HTTP/1.1 302 Redirect
Content-Type: text/html; charset=UTF-8
Location: http://ojaloberoi.in/v3
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 23 Jan 2020 00:37:23 GMT
Content-Length: 146

<head><title>Document Moved</title></head>
<body><h1>Object Moved</h1>This document may be found <a HREF=""http://ojaloberoi.in/v3"">here</a></body>"
