URL,TTL,Message
multvkino.tlum.ru,1,timed out
multvkino.tlum.ru,2,timed out
multvkino.tlum.ru,3,timed out
multvkino.tlum.ru,4,timed out
multvkino.tlum.ru,5,timed out
multvkino.tlum.ru,6,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:26 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,18,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,19,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,20,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,21,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,22,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
multvkino.tlum.ru,23,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 01:46:27 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ojaloberoi.in/
Strict-Transport-Security: max-age=31536000

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
