URL,TTL,Message
nelegal.ru,1,timed out
nelegal.ru,2,timed out
nelegal.ru,3,timed out
nelegal.ru,4,timed out
nelegal.ru,5,timed out
nelegal.ru,6,timed out
nelegal.ru,7,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:27 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
nelegal.ru,8,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:28 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
nelegal.ru,9,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:28 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
nelegal.ru,10,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:28 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
nelegal.ru,11,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:28 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
nelegal.ru,12,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 10:29:28 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Sat, 09 Aug 2014 19:16:07 GMT
ETag: ""bfa03-b1-50037275e15e1""
Accept-Ranges: bytes
Content-Length: 177
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<html><body><h1>It works!</h1>
<p>This is the default web page for this server.</p>
<p>The web server software is running but no content has been added, yet.</p>
</body></html>
"
