URL,TTL,Message
nr2.com.ua,1,timed out
nr2.com.ua,2,timed out
nr2.com.ua,3,timed out
nr2.com.ua,4,timed out
nr2.com.ua,5,timed out
nr2.com.ua,6,timed out
nr2.com.ua,7,timed out
nr2.com.ua,8,timed out
nr2.com.ua,9,timed out
nr2.com.ua,10,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,11,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,12,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,13,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,14,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,15,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,16,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:49 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,17,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,18,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,19,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,20,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,21,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
nr2.com.ua,22,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.16.0
Date: Thu, 23 Jan 2020 02:39:50 GMT
Content-Type: text/html
Content-Length: 145
Connection: keep-alive
Location: http://ojaloberoi.in/index.html

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
