URL,TTL,Message
okkupatsiya.net,1,timed out
okkupatsiya.net,2,timed out
okkupatsiya.net,3,timed out
okkupatsiya.net,4,timed out
okkupatsiya.net,5,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dedbc5361d6d199d261eb7a1f493c58f71579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db21c35fd0d-OTP

10
error code: 1001
0

"
okkupatsiya.net,6,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dedbc5361d6d199d261eb7a1f493c58f71579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db26c53fd0d-OTP

10
error code: 1001
0

"
okkupatsiya.net,7,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d16e40a40d7bc12350edc44c9e27754af1579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db29ce6ad36-OTP

10
error code: 1001
"
okkupatsiya.net,8,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dc95720345b68535218a97961b298bd011579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db2ee63fd09-OTP

10
error code: 1001
0

"
okkupatsiya.net,9,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d6d879be53374960962a2e8ee42120b6c1579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db31b6ffd01-OTP

10
error code: 1001
0

"
okkupatsiya.net,10,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 02:55:50 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=daffcc50d64a3852ba115eed8be091c191579748150; expires=Sat, 22-Feb-20 02:55:50 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 02:55:56 GMT
Server: cloudflare
CF-RAY: 55967db36b5e2900-OTP

10
error code: 1001
0

"
