URL,TTL,Message
russianopengames.ru,1,timed out
russianopengames.ru,2,timed out
russianopengames.ru,3,timed out
russianopengames.ru,4,timed out
russianopengames.ru,5,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:04 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,6,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,7,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,8,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,9,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,10,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
russianopengames.ru,11,"HTTP/1.1 200 OK
Server: nginx/Zenon version
Date: Thu, 23 Jan 2020 12:10:05 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

118
<html>
<head>
<title>Welcome to nginx!</title>
</head>
<body bgcolor=""white"" text=""black"">
<center><h1>Welcome to nginx!</h1>
<p>Host ojaloberoi.in is not available now.</p>
<p>Please proceed to <a href=""http://www.host.ru/"">http://www.host.ru/</a></p>
</center>
</body>
</html>


0

"
