URL,TTL,Message
sovinform.ru,1,timed out
sovinform.ru,2,timed out
sovinform.ru,3,timed out
sovinform.ru,4,timed out
sovinform.ru,5,timed out
sovinform.ru,6,timed out
sovinform.ru,7,timed out
sovinform.ru,8,timed out
sovinform.ru,9,timed out
sovinform.ru,10,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 12:32:58 GMT
Content-Type: text/html
Content-Length: 7326
Last-Modified: Wed, 04 Jan 2017 07:42:06 GMT
Connection: keep-alive
Vary: Accept-Encoding
ETag: ""586ca74e-1c9e""
Accept-Ranges: bytes

<!DOCTYPE html>
<html>
<head>
	<meta charset=""utf-8"">
	<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
	<meta name=""viewport"" content=""width=device-width"">
	<meta name=""description"" content="""">
	<title>Евробайт</title>
	<link rel=""stylesheet"" href=""https://eurobyte.ru/files/css/global.css?v=2"">
	<script type=""text/javascript"">var w2UserStatus=false;</script>
</head>
<body>
	<header class=""header"">
		<div class=""header__inner"">
			<a href=""https://eurobyte.ru"" class=""logo"">Сайт не найден или еще не активирован</a>
			<nav class=""nav"">
				<ul class=""nav__list"">
					<li class=""nav__item""><a href=""https://eurobyte.ru/#servises"" class=""nav__fakelink"">Услуги</a></li>
					<li class=""nav__item""><a href=""https://eurobyte.ru/#bonuses"" class=""nav__fakelink"">Бонусы</a></li>
					<li class=""nav__item""><a href=""https://qa.eurobyte.ru/"" class=""nav__link"">Помощь и поддержка</a></li>
				</ul>
			</nav>
		</div>
	</header>
	<section class=""content"">
		<header class=""content__header"">
			<h1>Сайт не найден или еще не активирован</h1>
		</header>
		<div class=""content__body"">
            <center><h3>Дополнительная информация для владельца сайта предоставляется в <a href=""https://bill.eurobyte.ru/manager/billmgr?startpage=clienttickets"" id=""support_link"" target=""_blank"">""Центре поддержки""</a>.</h3>
            <img src=""https://eurobyte.ru/files/content-images/lights_off.png"" alt="""" id=""l_off""><img src=""https://eurobyte.ru/files/content-images/lights_on.png"" alt="""" id=""l_on"">
            </center><br>
            <center>
                <a href=""/files/content-images/eurobyte_bitrix.jpg"" class=""gallery__link""><img src=""/files/content-images/eurobyte_bitrix_sm.jpg"" alt="""" class=""gallery__hero""></a>
            </center>
        </div>
	</section>
	<section class=""section section-beige"">
		<div class=""section__inner"">
			<h1>Почему выбирают Евробайт?</h1>
			<div class=""benefits"">
				<div class=""benefits__item"">
					<div class=""benefits__itemInner"">
						<div class=""benefits__hero"">
							<img src=""https://eurobyte.ru/files/i/benefit-1.png"" alt="""" class=""benefits__image"">
						</div>
						<div class=""benefits__body"">
							<div class=""benefits__caption"">МОЩНЫЕ СЕРВЕРЫ С SSD-ДИСКАМИ</div>
							<div class=""benefits__text"">Мы используем только мощные серверы DELL с высокопроизводи-тельными SSD-дисками, поэтому у ваших сайтов не будет проблем со скоростью работы.</div>
						</div>
					</div>
				</div>
				<div class=""benefits__item"">
					<div class=""benefits__itemInner"">
						<div class=""benefits__hero"">
							<img src=""https://eurobyte.ru/files/i/benefit-2.png"" alt="""" class=""benefits__image"">
						</div>
						<div class=""benefits__body"">
							<div class=""benefits__caption"">БЫСТРАЯ И УМНАЯ ПОДДЕРЖКА</div>
							<div class=""benefits__text"">Наша служба поддержки работает 24 часа в сутки без выходных и праздников. Время реакции в любое время суток не превышает 10 минут. Все наши сотрудники прошли строгий отбор и имеют высокую квалификацию.</div>
						</div>
					</div>
				</div>
				<div class=""benefits__item"">
					<div class=""benefits__itemInner"">
						<div class=""benefits__hero"">
							<img src=""https://eurobyte.ru/files/i/benefit-3.png"" alt="""" class=""benefits__image"">
						</div>
						<div cl"
