URL,TTL,Message
versii.com,1,timed out
versii.com,2,timed out
versii.com,3,timed out
versii.com,4,timed out
versii.com,5,timed out
versii.com,6,timed out
versii.com,7,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:20 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:20 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=ru9p5ccon8s8d7e5tj8vnjgd76; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,8,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:20 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:20 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=l1p2mr2gkpfmdcpn1saemj0733; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,9,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:20 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:20 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=73j4oioser6l71ofgikij7n787; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,10,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:20 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:20 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=h3daqv6pd31i8lasl6sr8p6j41; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,11,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=puv53hgs99jrhpssaj3k3tolq2; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,12,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=29kilql1pane2pc29bh8jt0lc2; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,13,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=ql4tvu8trg24p6sr9e39778uu4; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,14,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=9bmcdbd4tvk6f0tiq5a14ghlr6; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,15,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=kcqt8sp0r4scatc5pmc9oe8t16; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,16,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=o4duvoui7rq1c950cvtimdc7e0; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,17,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=41uivojbr5l14hnq1am37ecuo3; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,18,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=4kkkb1ffl3mhi4uf8h4824e0g5; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,19,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=m6kj8joitc6j74qq44shq5uul2; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,20,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:21 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:21 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=tqnl5doftpcbldsqjbtqt0pu03; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,21,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=nol9hhqvgshd3bqenvc1q6rg17; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,22,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=iq85bmnl2an9j3hf100ke65hu0; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,23,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=gsfcssp9cmnmt9upu0un5ir2p1; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,24,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=gauqmmm4bdgjngbt24nam85j85; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,25,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=k8s79p1mmbrfubedkebh0onr14; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,26,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=jqpp93i107iq1hf3vj61l3cng7; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,27,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=5jm8mk6v1jsq184qfangk8pq14; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,28,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=55kk5srf7r0vfmnp25ml5jncd6; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
versii.com,29,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 05:34:22 GMT
Server: Apache/2.2.22 (Debian)
X-Powered-By: PHP/5.4.4-14+deb7u9
Last-Modified: Thu, 23 Jan 2020 05:34:22 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Set-Cookie: PHPSESSID=c63bckae39kbcbkupg2evtghn1; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Location: http://versii.com/
Vary: Accept-Encoding
Content-Length: 0
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=windows-1251

"
