URL,TTL,Message
yandex.ru,1,timed out
yandex.ru,2,timed out
yandex.ru,3,timed out
yandex.ru,4,timed out
yandex.ru,5,timed out
yandex.ru,6,timed out
yandex.ru,7,timed out
yandex.ru,8,timed out
yandex.ru,9,timed out
yandex.ru,10,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,11,timed out
yandex.ru,12,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,13,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,14,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,15,timed out
yandex.ru,16,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,17,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,18,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,19,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,20,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,21,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,22,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,23,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,24,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,25,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,26,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,27,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,28,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
yandex.ru,29,"HTTP/1.1 406 Not acceptable
Connection: Close
Content-Length: 0

"
