URL,TTL,Message
yaplakal.com,1,timed out
yaplakal.com,2,timed out
yaplakal.com,3,timed out
yaplakal.com,4,timed out
yaplakal.com,5,timed out
yaplakal.com,6,timed out
yaplakal.com,7,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 13:49:03 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding

ffc0
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html lang=""ru"">
<head> 
<title>ЯПлакалъ</title> 
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8""> 
<meta http-equiv=""pragma"" content=""no-cache"">
<meta http-equiv=""cache-control"" content=""no-cache"">
<meta http-equiv=""Expires"" content=""0"">
<meta http-equiv=""revisit-after"" content=""1 days"">
<meta name=""description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta name=""keywords"" content=""приколы, видео приколы, картинки, фотожаба, анекдоты, фото, флэш игры, креативы, красивые девушки, автоприколы, новости"">
<meta name=""robots"" content=""index, follow"">
<meta name=""author"" content=""Yaplakal.com"">
<meta name=""organization"" content=""Yaplakal.com"">
<meta name=""copyright"" content=""2004-2019 (с) Yaplakal.com"">
<meta name=""document-state"" content=""dynamic"">
<meta name=""yandex-verification"" content=""472cc94a6861b645"">
<meta name=""yandex-verification"" content=""ff22d5950235db46"">
<meta name=""google-site-verification"" content=""GpksY-RcMpLz6jDVDhctCZ2ce2W0diwGwtQb2U4tfig"">
<meta property=""og:type"" content=""article"">
<meta property=""og:site_name"" content=""Yaplakal.com — информационно-развлекательное сообщество"">
<meta property=""article:author"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""article:publisher"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""og:title"" content=""ЯПлакалъ"">
<meta property=""og:url"" content=""https://ojaloberoi.in/"">
<meta property=""og:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""og:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:card"" content=""summary_large_image"">
<meta property=""twitter:url"" content=""https://ojaloberoi.in/"">
<meta property=""twitter:title"" content=""ЯПлакалъ"">
<meta property=""twitter:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""twitter:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:site"" content=""yaplakalcom"">
<meta name=""title"" content=""ЯПлакалъ"">
<meta name=""apple-itunes-app"" content=""app-id=1139770709"">
<link rel=""image_src"" href=""//www.yaplakal.com/html/static/top-logo.png"">
<link rel=""alternate"" type=""application/rss+xml"" title=""Новости сайта ЯП"" href=""https://www.yaplakal.com/news.xml"">
<link rel=""apple-touch-icon"" sizes=""57x57"" href=""/html/ico/apple-"
yaplakal.com,8,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 13:49:03 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding

ffc0
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html lang=""ru"">
<head> 
<title>ЯПлакалъ</title> 
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8""> 
<meta http-equiv=""pragma"" content=""no-cache"">
<meta http-equiv=""cache-control"" content=""no-cache"">
<meta http-equiv=""Expires"" content=""0"">
<meta http-equiv=""revisit-after"" content=""1 days"">
<meta name=""description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta name=""keywords"" content=""приколы, видео приколы, картинки, фотожаба, анекдоты, фото, флэш игры, креативы, красивые девушки, автоприколы, новости"">
<meta name=""robots"" content=""index, follow"">
<meta name=""author"" content=""Yaplakal.com"">
<meta name=""organization"" content=""Yaplakal.com"">
<meta name=""copyright"" content=""2004-2019 (с) Yaplakal.com"">
<meta name=""document-state"" content=""dynamic"">
<meta name=""yandex-verification"" content=""472cc94a6861b645"">
<meta name=""yandex-verification"" content=""ff22d5950235db46"">
<meta name=""google-site-verification"" content=""GpksY-RcMpLz6jDVDhctCZ2ce2W0diwGwtQb2U4tfig"">
<meta property=""og:type"" content=""article"">
<meta property=""og:site_name"" content=""Yaplakal.com — информационно-развлекательное сообщество"">
<meta property=""article:author"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""article:publisher"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""og:title"" content=""ЯПлакалъ"">
<meta property=""og:url"" content=""https://ojaloberoi.in/"">
<meta property=""og:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""og:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:card"" content=""summary_large_image"">
<meta property=""twitter:url"" content=""https://ojaloberoi.in/"">
<meta property=""twitter:title"" content=""ЯПлакалъ"">
<meta property=""twitter:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""twitter:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:site"" content=""yaplakalcom"">
<meta name=""title"" content=""ЯПлакалъ"">
<meta name=""apple-itunes-app"" content=""app-id=1139770709"">
<link rel=""image_src"" href=""//www.yaplakal.com/html/static/top-logo.png"">
<link rel=""alternate"" type=""application/rss+xml"" title=""Новости сайта ЯП"" href=""https://www.yaplakal.com/news.xml"">
<link rel=""apple-touch-icon"" sizes=""57x57"" href=""/html/ico/apple-"
yaplakal.com,9,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 13:49:03 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding

7fc0
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html lang=""ru"">
<head> 
<title>ЯПлакалъ</title> 
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8""> 
<meta http-equiv=""pragma"" content=""no-cache"">
<meta http-equiv=""cache-control"" content=""no-cache"">
<meta http-equiv=""Expires"" content=""0"">
<meta http-equiv=""revisit-after"" content=""1 days"">
<meta name=""description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta name=""keywords"" content=""приколы, видео приколы, картинки, фотожаба, анекдоты, фото, флэш игры, креативы, красивые девушки, автоприколы, новости"">
<meta name=""robots"" content=""index, follow"">
<meta name=""author"" content=""Yaplakal.com"">
<meta name=""organization"" content=""Yaplakal.com"">
<meta name=""copyright"" content=""2004-2019 (с) Yaplakal.com"">
<meta name=""document-state"" content=""dynamic"">
<meta name=""yandex-verification"" content=""472cc94a6861b645"">
<meta name=""yandex-verification"" content=""ff22d5950235db46"">
<meta name=""google-site-verification"" content=""GpksY-RcMpLz6jDVDhctCZ2ce2W0diwGwtQb2U4tfig"">
<meta property=""og:type"" content=""article"">
<meta property=""og:site_name"" content=""Yaplakal.com — информационно-развлекательное сообщество"">
<meta property=""article:author"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""article:publisher"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""og:title"" content=""ЯПлакалъ"">
<meta property=""og:url"" content=""https://ojaloberoi.in/"">
<meta property=""og:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""og:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:card"" content=""summary_large_image"">
<meta property=""twitter:url"" content=""https://ojaloberoi.in/"">
<meta property=""twitter:title"" content=""ЯПлакалъ"">
<meta property=""twitter:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""twitter:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:site"" content=""yaplakalcom"">
<meta name=""title"" content=""ЯПлакалъ"">
<meta name=""apple-itunes-app"" content=""app-id=1139770709"">
<link rel=""image_src"" href=""//www.yaplakal.com/html/static/top-logo.png"">
<link rel=""alternate"" type=""application/rss+xml"" title=""Новости сайта ЯП"" href=""https://www.yaplakal.com/news.xml"">
<link rel=""apple-touch-icon"" sizes=""57x57"" href=""/html/ico/apple-touch-icon-57x57.png"">
<link rel=""apple-touch-icon"" sizes=""60x60"" href=""/html/ico/apple-touch-icon-60x60.png"">
<link rel=""apple-touch-icon"" sizes=""72x72"" href=""/html/ico/apple-touch-icon-72x72.png"">
<link rel=""apple-touch-icon"" sizes=""76x76"" href=""/html/ico/apple-touch-icon-76x76.png"">
<link rel=""apple-touch-icon"" sizes=""114x114"" href=""/html/ico/apple-touch-icon-114x114.png"">
<link rel=""apple-touch-icon"" sizes=""120x120"" href=""/html/ico/apple-touch-icon-120x120.png"">
<link rel=""apple-touch-icon"" sizes=""144x144"" href=""/html/ico/apple-touch-icon-144x144.png"">
<link rel=""apple-touch-icon"" sizes=""152x152"" href=""/html/ico/apple-touch-icon-152x152.png"">
<link rel=""apple-touch-icon"" sizes=""167x167"" href=""/html/ico/apple-touch-icon-167x167.png"">
<link rel=""apple-touch-icon"" sizes=""180x180"" href=""/html/ico/apple-touch-icon-180x180.png"">
<link rel=""icon"" type=""image/png"" href=""/favicon.ico"" sizes=""16x16"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-32x32.png"" sizes=""32x32"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-194x194.png"" sizes=""194x194"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-96x96.png"" sizes=""96x96"">
<link rel=""icon"" type="
yaplakal.com,10,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 13:49:03 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding

7fc0
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html lang=""ru"">
<head> 
<title>ЯПлакалъ</title> 
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8""> 
<meta http-equiv=""pragma"" content=""no-cache"">
<meta http-equiv=""cache-control"" content=""no-cache"">
<meta http-equiv=""Expires"" content=""0"">
<meta http-equiv=""revisit-after"" content=""1 days"">
<meta name=""description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta name=""keywords"" content=""приколы, видео приколы, картинки, фотожаба, анекдоты, фото, флэш игры, креативы, красивые девушки, автоприколы, новости"">
<meta name=""robots"" content=""index, follow"">
<meta name=""author"" content=""Yaplakal.com"">
<meta name=""organization"" content=""Yaplakal.com"">
<meta name=""copyright"" content=""2004-2019 (с) Yaplakal.com"">
<meta name=""document-state"" content=""dynamic"">
<meta name=""yandex-verification"" content=""472cc94a6861b645"">
<meta name=""yandex-verification"" content=""ff22d5950235db46"">
<meta name=""google-site-verification"" content=""GpksY-RcMpLz6jDVDhctCZ2ce2W0diwGwtQb2U4tfig"">
<meta property=""og:type"" content=""article"">
<meta property=""og:site_name"" content=""Yaplakal.com — информационно-развлекательное сообщество"">
<meta property=""article:author"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""article:publisher"" content=""https://www.facebook.com/yaplakalcom"">
<meta property=""og:title"" content=""ЯПлакалъ"">
<meta property=""og:url"" content=""https://ojaloberoi.in/"">
<meta property=""og:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""og:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:card"" content=""summary_large_image"">
<meta property=""twitter:url"" content=""https://ojaloberoi.in/"">
<meta property=""twitter:title"" content=""ЯПлакалъ"">
<meta property=""twitter:description"" content=""ЯПлакалъ - развлекательное сообщество"">
<meta property=""twitter:image"" content=""//www.yaplakal.com/html/static/top-logo.png"">
<meta property=""twitter:site"" content=""yaplakalcom"">
<meta name=""title"" content=""ЯПлакалъ"">
<meta name=""apple-itunes-app"" content=""app-id=1139770709"">
<link rel=""image_src"" href=""//www.yaplakal.com/html/static/top-logo.png"">
<link rel=""alternate"" type=""application/rss+xml"" title=""Новости сайта ЯП"" href=""https://www.yaplakal.com/news.xml"">
<link rel=""apple-touch-icon"" sizes=""57x57"" href=""/html/ico/apple-touch-icon-57x57.png"">
<link rel=""apple-touch-icon"" sizes=""60x60"" href=""/html/ico/apple-touch-icon-60x60.png"">
<link rel=""apple-touch-icon"" sizes=""72x72"" href=""/html/ico/apple-touch-icon-72x72.png"">
<link rel=""apple-touch-icon"" sizes=""76x76"" href=""/html/ico/apple-touch-icon-76x76.png"">
<link rel=""apple-touch-icon"" sizes=""114x114"" href=""/html/ico/apple-touch-icon-114x114.png"">
<link rel=""apple-touch-icon"" sizes=""120x120"" href=""/html/ico/apple-touch-icon-120x120.png"">
<link rel=""apple-touch-icon"" sizes=""144x144"" href=""/html/ico/apple-touch-icon-144x144.png"">
<link rel=""apple-touch-icon"" sizes=""152x152"" href=""/html/ico/apple-touch-icon-152x152.png"">
<link rel=""apple-touch-icon"" sizes=""167x167"" href=""/html/ico/apple-touch-icon-167x167.png"">
<link rel=""apple-touch-icon"" sizes=""180x180"" href=""/html/ico/apple-touch-icon-180x180.png"">
<link rel=""icon"" type=""image/png"" href=""/favicon.ico"" sizes=""16x16"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-32x32.png"" sizes=""32x32"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-194x194.png"" sizes=""194x194"">
<link rel=""icon"" type=""image/png"" href=""/html/ico/favicon-96x96.png"" sizes=""96x96"">
<link rel=""icon"" type="
