URL,TTL,Message
agentura.ru,1,timed out
agentura.ru,2,timed out
agentura.ru,3,timed out
agentura.ru,4,timed out
agentura.ru,5,timed out
agentura.ru,6,timed out
agentura.ru,7,timed out
agentura.ru,8,"HTTP/1.1 502 Bad Gateway
Server: shield
Date: Thu, 23 Jan 2020 06:11:03 GMT
Content-Type: application/octet-stream
Content-Length: 943
Cache-Control: no-cache
Content-Type: text/html
Via: 1.1 google

<!DOCTYPE html><html><head><title>502 - Project Shield Error</title><style>body {background-color: #F5F5F5;margin: 300px 0 0 400px;font-family: Roboto, Arial, sans-serif;font-size: 14px;}p{margin:4px 0;}</style></head><body><img src=""https://storage.googleapis.com/ddos-shield.appspot.com/shield-logo-mono-darktext.svg"" width=""125px"" height=""25px"" alt=""Project Shield Logo"" /><div style=""margin: 60px 0 60px;""><p style=""color:rgba(0,0,0,0.87);font-size:24px;line-height:28px;""><strong>502.</strong> ojaloberoi.in is being configured.</p><p style=""width: 550px;color:rgba(0,0,0,0.54);line-height:20px;"">The page you are trying to access is protected by Project Shield, but recent configuration changes are propagating through our system. Try reloading the page in a minute.</p></div><a style=""color:#36aaa1;line-height:16px;"" href=""https://projectshield.withgoogle.com"" target=""_blank"">Free DDoS Protection from Project Shield</a></body></html>"
agentura.ru,9,"HTTP/1.1 502 Bad Gateway
Server: shield
Date: Thu, 23 Jan 2020 06:11:03 GMT
Content-Type: application/octet-stream
Content-Length: 943
Cache-Control: no-cache
Content-Type: text/html
Via: 1.1 google

<!DOCTYPE html><html><head><title>502 - Project Shield Error</title><style>body {background-color: #F5F5F5;margin: 300px 0 0 400px;font-family: Roboto, Arial, sans-serif;font-size: 14px;}p{margin:4px 0;}</style></head><body><img src=""https://storage.googleapis.com/ddos-shield.appspot.com/shield-logo-mono-darktext.svg"" width=""125px"" height=""25px"" alt=""Project Shield Logo"" /><div style=""margin: 60px 0 60px;""><p style=""color:rgba(0,0,0,0.87);font-size:24px;line-height:28px;""><strong>502.</strong> ojaloberoi.in is being configured.</p><p style=""width: 550px;color:rgba(0,0,0,0.54);line-height:20px;"">The page you are trying to access is protected by Project Shield, but recent configuration changes are propagating through our system. Try reloading the page in a minute.</p></div><a style=""color:#36aaa1;line-height:16px;"" href=""https://projectshield.withgoogle.com"" target=""_blank"">Free DDoS Protection from Project Shield</a></body></html>"
agentura.ru,10,"HTTP/1.1 502 Bad Gateway
Server: shield
Date: Thu, 23 Jan 2020 06:11:03 GMT
Content-Type: application/octet-stream
Content-Length: 943
Cache-Control: no-cache
Content-Type: text/html
Via: 1.1 google

<!DOCTYPE html><html><head><title>502 - Project Shield Error</title><style>body {background-color: #F5F5F5;margin: 300px 0 0 400px;font-family: Roboto, Arial, sans-serif;font-size: 14px;}p{margin:4px 0;}</style></head><body><img src=""https://storage.googleapis.com/ddos-shield.appspot.com/shield-logo-mono-darktext.svg"" width=""125px"" height=""25px"" alt=""Project Shield Logo"" /><div style=""margin: 60px 0 60px;""><p style=""color:rgba(0,0,0,0.87);font-size:24px;line-height:28px;""><strong>502.</strong> ojaloberoi.in is being configured.</p><p style=""width: 550px;color:rgba(0,0,0,0.54);line-height:20px;"">The page you are trying to access is protected by Project Shield, but recent configuration changes are propagating through our system. Try reloading the page in a minute.</p></div><a style=""color:#36aaa1;line-height:16px;"" href=""https://projectshield.withgoogle.com"" target=""_blank"">Free DDoS Protection from Project Shield</a></body></html>"
agentura.ru,11,"HTTP/1.1 502 Bad Gateway
Server: shield
Date: Thu, 23 Jan 2020 06:11:03 GMT
Content-Type: application/octet-stream
Content-Length: 943
Cache-Control: no-cache
Content-Type: text/html
Via: 1.1 google

<!DOCTYPE html><html><head><title>502 - Project Shield Error</title><style>body {background-color: #F5F5F5;margin: 300px 0 0 400px;font-family: Roboto, Arial, sans-serif;font-size: 14px;}p{margin:4px 0;}</style></head><body><img src=""https://storage.googleapis.com/ddos-shield.appspot.com/shield-logo-mono-darktext.svg"" width=""125px"" height=""25px"" alt=""Project Shield Logo"" /><div style=""margin: 60px 0 60px;""><p style=""color:rgba(0,0,0,0.87);font-size:24px;line-height:28px;""><strong>502.</strong> ojaloberoi.in is being configured.</p><p style=""width: 550px;color:rgba(0,0,0,0.54);line-height:20px;"">The page you are trying to access is protected by Project Shield, but recent configuration changes are propagating through our system. Try reloading the page in a minute.</p></div><a style=""color:#36aaa1;line-height:16px;"" href=""https://projectshield.withgoogle.com"" target=""_blank"">Free DDoS Protection from Project Shield</a></body></html>"
