URL,TTL,Message
casinoking.com,1,timed out
casinoking.com,2,timed out
casinoking.com,3,timed out
casinoking.com,4,timed out
casinoking.com,5,timed out
casinoking.com,6,timed out
casinoking.com,7,"HTTP/1.1 200 OK
Server: nginx
Date: Wed, 22 Jan 2020 22:28:11 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding
Vary: Accept-Encoding

1f56
<!doctype html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>PHP Stack</title>
    <style type=""text/css"">
        .w100{width:100%!important}.text-center{text-align:center}body{padding:0;margin:0;background-color:#fff;font-size:15px;color:#1a1a1a;font-family:sans-serif}header{width:100%;height:70px;background-color:#2e39bf}.site-logo{display:inline-block;width:197px;margin:16px 0}.main-heading{text-align:center}h1{line-height:47px;font-size:36px;color:#1a1a1a;font-weight:lighter}.main-heading h1{margin:0 auto;padding:54px 0}.pg-sec1{background:#f8f8f8;display:block;float:left}.pg-sec1 h3,.pg-sec1 ul{border:none!important}.pg-sec1 h3{margin-top:42px;padding-bottom:32px}.pg-sec1 ul{padding:0!important;margin-bottom:43px}.pg-sec1 ul li{list-style:none!important;display:inline-block;width:32%;text-align:center;margin-bottom:12px}.pg-sec1 ul li:before{display:none!important}.pg-sec1 ul li .box{padding:20px 0 12px 0;display:inline-block;width:93%;margin:0 auto;text-align:center;background:#fff;font-size:22px;line-height:21px;-webkit-box-shadow:0 0 10px 0 #dcdcdc;-moz-box-shadow:0 0 10px 0 #dcdcdc;box-shadow:0 0 10px 0 #dcdcdc}.pg-sec1 ul:before{display:none!important}.pg-sec1 .box span{background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGMAAAQhCAMAAAAOOsHTAAAC+lBMVEUAAAD////mm32NxjNmljF+virTLDT1XT/pUEi/4VLqp5fnwazXPUX5UDr3VztjlS3li5Dvu5tjlC1snjRGbUaxzJrmjXPcXWPltaH7UDsilPNmkThBfu/7UDrNyojfbijli1EaFxtilCz7UDtnmDDrpXRRn9AHrfbiejn7UDv7UDvomWYaFxsaFxveaSGDk/CQfuvqrXjhdGziejukburkgUTfbysaFxt0QelUixv7UDuDIuZpXewaFxsaFxuy2VrhdjX7UDuz2koaFxvZQSj7UDvxvV5/uDjH5WLn0HVUZu0Oc7eIwzAHb7WOw+U1i8U8j8aqz6VHmcwIcrV8mPD////omYAaFxvWPETebCUAAAD+/vr++v77UDv6///8sTvnlHorPV74+vndZRv++vjsW03mjXSdTWX99fLUMTorkvPqKQByQ+n1//00ivKnSmbTKTIhmfPUMxveYlDspZRRaO15OOg5hPBsUOv55d7yWEzh393lX0n76+bZ4fTutajxWlb33NXnXVbqoIry8/JEd++r1kXsrZ7mf230zMKazTs7ffD78OzXPidZXu3108vxvrJIbu4XovVjWetibe2CKebpPwP6qCj8VFDjb17aSS5ZeO8Fb7T202rm6OPyxbpTgPDcWETo6/TokYZ+p1JtY+ukpahwc3baTjyfRl4yMDTu//6hv4HlfD9AOkA1QWEnNlSGOE7ibTnqFAHS09WOsmjfXTImJScJrvdLhvHY5MqxtbxkY2SRQlr1xWHoiUXAwMK70KHtW0TeTUvzu1ofLknsSUfIyc6VxelfO+h8uOLqk0ruplLKTUgTIz+XlpjwsFfOV1XsnU5mq9h9fH37uz8nPGcJFjLWZmNZV1hNS049ksgqh8GHh4xsd4kXfLrI2rVIVOvVeXn41ZjUl5CyforL0/DiydL56MOvSE20x/PqRynBZWGLlaTQIQvUubuhZnVGUWobQli/m6c7PXOipO4zaezpLhxgl/BtJubyiSxZZXhxSmprMUMkGYMKAAAAVXRSTlMA8Q3+7v6tIoH+OBabW0CKTU/AURj9XXwl6+kz6Y78653tpqRpRv7pzd+3h4Fi9vTyc2q666/d1ub90efmu0dK4cG9pMzJubh7+emShcGybUKopd3V5EPkHQAAJBpJREFUeNrsljGOxCAMRS0aaOyegooKjkBHkWP8+19jhSYzBMSsRIZ0vC5RZMc8MKYxSouwcT4mCwRND5AtPliLQA8AwDvDLFoRKYBpPQ6gCgOKlqMBT5UAT+uJwEW01KfnColItJ6jcaAf0S6AazaBpfWEdjOVlMvhNir/q10Juxw1zWLbQgIyjdBsYkDhxnIawLSCZFQBCsEb0YJMkygA7ZGxNMAj6LNeM+/MtYXoL9oDpObj+XNou5x6/Jmu+Wa9x+7kAXEsLtV89sdCeKydMlz9JM43FG6XPnzZHVKTmOmGEtrncQT+1KsZ4OmGIp0hNd7AscT36cZRZCANW36PRUwoWM+a5rBdIW6gXYw/40cjNI8BDroChC6+RSEAougWCt2PV6dKTDzjl/WJMHQT1x+8BJzx2/VRFnz/YofuXuSIF9mIWjFY+OtW0uze8Q/Hui85/FhIiX/g5IzfkW6PYRnwr+N1Cs7toqyYXgSFi2DVHuUlQ2s6BTtR/eXV45FuGsm2Fazw9X+PZSOSwdiu4mPdQGkH2hW/2kpeN+Ad1HAmQDKaltBfLPJujE5oHVL3r7jwvjloLREwlwSIrGg1GgCbhNUS+qaPTsJ6bJXwGBJskbDZbDabzWaz2Ww2m80f+2WoKysMhGFyngG3qh50FWt4hsmI63gNLM+BWMFJEFVNEFTgkBgMJPsut8CSIVx2N3c7R5yEz5AV2+af/592enJy8uvxwyCOpJRRHIS+9wNcY4FbRHz1eAkl/osMOTVIPEZyafEjfE7ks4gQ+ArBICXEdzi7EuB7AmYV/Equ+ILS3PuhwgkHT/wXdqvmT9NpyMfZ+M/T9SK0fZKNiAYgm5VEP2DGHcDYTwMAI1nCWikD0KClBUgqpGoxxlZliwwcW22cAvxcRgOQ4Q7B4MbQ1UWv1kpBjXtC11CNGiBvb1CUiKgBoLff6lsh8UG0vvYGFJMYnSsc4JEmPQWX+HJrccpPkQ0F2F+TjGTairg6pUoBmXxPEgDQ836k47NkxUgYsHxT+z0KlyYGN8Te/yKRmB1IBpwpwJJpnSW1wi3SqTuqZF53WTIFS2/MWDl3CG7pYCKdVi1hosID3PaoUpjoVm9yZN2j1EmHqPK5WqukhmcPsYmRmrvQUiK2iyDCwQ+5sWIyu4elD2f7KbNOuYqoN/Sa32a1vMQDos/7vIECLbWVoR6WpzwjEJ1XVQG1MQ1APq6WF0i4nFc+/Vl1bZ42fbWosgx4hM81lEzxuuEREddUoii5e0KWsWRN8GGqhM81lzRPZQTu8xUdwLeKR8ZeyKizYi2V4ZGxP0/KbLkHq/xZpaT3KZftXXufG7DAQy7OT5wRANoSe1LBkNu9JbWVMdSQGv7HGo0nfZvr2uAxMeejk1kFEb55n4ceAxeJz5GUKG4pJII"
casinoking.com,8,"HTTP/1.1 200 OK
Server: nginx
Date: Wed, 22 Jan 2020 22:28:11 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding
Vary: Accept-Encoding

1f56
<!doctype html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>PHP Stack</title>
    <style type=""text/css"">
        .w100{width:100%!important}.text-center{text-align:center}body{padding:0;margin:0;background-color:#fff;font-size:15px;color:#1a1a1a;font-family:sans-serif}header{width:100%;height:70px;background-color:#2e39bf}.site-logo{display:inline-block;width:197px;margin:16px 0}.main-heading{text-align:center}h1{line-height:47px;font-size:36px;color:#1a1a1a;font-weight:lighter}.main-heading h1{margin:0 auto;padding:54px 0}.pg-sec1{background:#f8f8f8;display:block;float:left}.pg-sec1 h3,.pg-sec1 ul{border:none!important}.pg-sec1 h3{margin-top:42px;padding-bottom:32px}.pg-sec1 ul{padding:0!important;margin-bottom:43px}.pg-sec1 ul li{list-style:none!important;display:inline-block;width:32%;text-align:center;margin-bottom:12px}.pg-sec1 ul li:before{display:none!important}.pg-sec1 ul li .box{padding:20px 0 12px 0;display:inline-block;width:93%;margin:0 auto;text-align:center;background:#fff;font-size:22px;line-height:21px;-webkit-box-shadow:0 0 10px 0 #dcdcdc;-moz-box-shadow:0 0 10px 0 #dcdcdc;box-shadow:0 0 10px 0 #dcdcdc}.pg-sec1 ul:before{display:none!important}.pg-sec1 .box span{background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGMAAAQhCAMAAAAOOsHTAAAC+lBMVEUAAAD////mm32NxjNmljF+virTLDT1XT/pUEi/4VLqp5fnwazXPUX5UDr3VztjlS3li5Dvu5tjlC1snjRGbUaxzJrmjXPcXWPltaH7UDsilPNmkThBfu/7UDrNyojfbijli1EaFxtilCz7UDtnmDDrpXRRn9AHrfbiejn7UDv7UDvomWYaFxsaFxveaSGDk/CQfuvqrXjhdGziejukburkgUTfbysaFxt0QelUixv7UDuDIuZpXewaFxsaFxuy2VrhdjX7UDuz2koaFxvZQSj7UDvxvV5/uDjH5WLn0HVUZu0Oc7eIwzAHb7WOw+U1i8U8j8aqz6VHmcwIcrV8mPD////omYAaFxvWPETebCUAAAD+/vr++v77UDv6///8sTvnlHorPV74+vndZRv++vjsW03mjXSdTWX99fLUMTorkvPqKQByQ+n1//00ivKnSmbTKTIhmfPUMxveYlDspZRRaO15OOg5hPBsUOv55d7yWEzh393lX0n76+bZ4fTutajxWlb33NXnXVbqoIry8/JEd++r1kXsrZ7mf230zMKazTs7ffD78OzXPidZXu3108vxvrJIbu4XovVjWetibe2CKebpPwP6qCj8VFDjb17aSS5ZeO8Fb7T202rm6OPyxbpTgPDcWETo6/TokYZ+p1JtY+ukpahwc3baTjyfRl4yMDTu//6hv4HlfD9AOkA1QWEnNlSGOE7ibTnqFAHS09WOsmjfXTImJScJrvdLhvHY5MqxtbxkY2SRQlr1xWHoiUXAwMK70KHtW0TeTUvzu1ofLknsSUfIyc6VxelfO+h8uOLqk0ruplLKTUgTIz+XlpjwsFfOV1XsnU5mq9h9fH37uz8nPGcJFjLWZmNZV1hNS049ksgqh8GHh4xsd4kXfLrI2rVIVOvVeXn41ZjUl5CyforL0/DiydL56MOvSE20x/PqRynBZWGLlaTQIQvUubuhZnVGUWobQli/m6c7PXOipO4zaezpLhxgl/BtJubyiSxZZXhxSmprMUMkGYMKAAAAVXRSTlMA8Q3+7v6tIoH+OBabW0CKTU/AURj9XXwl6+kz6Y78653tpqRpRv7pzd+3h4Fi9vTyc2q666/d1ub90efmu0dK4cG9pMzJubh7+emShcGybUKopd3V5EPkHQAAJBpJREFUeNrsljGOxCAMRS0aaOyegooKjkBHkWP8+19jhSYzBMSsRIZ0vC5RZMc8MKYxSouwcT4mCwRND5AtPliLQA8AwDvDLFoRKYBpPQ6gCgOKlqMBT5UAT+uJwEW01KfnColItJ6jcaAf0S6AazaBpfWEdjOVlMvhNir/q10Juxw1zWLbQgIyjdBsYkDhxnIawLSCZFQBCsEb0YJMkygA7ZGxNMAj6LNeM+/MtYXoL9oDpObj+XNou5x6/Jmu+Wa9x+7kAXEsLtV89sdCeKydMlz9JM43FG6XPnzZHVKTmOmGEtrncQT+1KsZ4OmGIp0hNd7AscT36cZRZCANW36PRUwoWM+a5rBdIW6gXYw/40cjNI8BDroChC6+RSEAougWCt2PV6dKTDzjl/WJMHQT1x+8BJzx2/VRFnz/YofuXuSIF9mIWjFY+OtW0uze8Q/Hui85/FhIiX/g5IzfkW6PYRnwr+N1Cs7toqyYXgSFi2DVHuUlQ2s6BTtR/eXV45FuGsm2Fazw9X+PZSOSwdiu4mPdQGkH2hW/2kpeN+Ad1HAmQDKaltBfLPJujE5oHVL3r7jwvjloLREwlwSIrGg1GgCbhNUS+qaPTsJ6bJXwGBJskbDZbDabzWaz2Ww2m80f+2WoKysMhGFyngG3qh50FWt4hsmI63gNLM+BWMFJEFVNEFTgkBgMJPsut8CSIVx2N3c7R5yEz5AV2+af/592enJy8uvxwyCOpJRRHIS+9wNcY4FbRHz1eAkl/osMOTVIPEZyafEjfE7ks4gQ+ArBICXEdzi7EuB7AmYV/Equ+ILS3PuhwgkHT/wXdqvmT9NpyMfZ+M/T9SK0fZKNiAYgm5VEP2DGHcDYTwMAI1nCWikD0KClBUgqpGoxxlZliwwcW22cAvxcRgOQ4Q7B4MbQ1UWv1kpBjXtC11CNGiBvb1CUiKgBoLff6lsh8UG0vvYGFJMYnSsc4JEmPQWX+HJrccpPkQ0F2F+TjGTairg6pUoBmXxPEgDQ836k47NkxUgYsHxT+z0KlyYGN8Te/yKRmB1IBpwpwJJpnSW1wi3SqTuqZF53WTIFS2/MWDl3CG7pYCKdVi1hosID3PaoUpjoVm9yZN2j1EmHqPK5WqukhmcPsYmRmrvQUiK2iyDCwQ+5sWIyu4elD2f7KbNOuYqoN/Sa32a1vMQDos/7vIECLbWVoR6WpzwjEJ1XVQG1MQ1APq6WF0i4nFc+/Vl1bZ42fbWosgx4hM81lEzxuuEREddUoii5e0KWsWRN8GGqhM81lzRPZQTu8xUdwLeKR8ZeyKizYi2V4ZGxP0/KbLkHq/xZpaT3KZftXXufG7DAQy7OT5wRANoSe1LBkNu9JbWVMdSQGv7HGo0nfZvr2uAxMeejk1kFEb55n4ceAxeJz5GUKG4pJII"
casinoking.com,9,"HTTP/1.1 200 OK
Server: nginx
Date: Wed, 22 Jan 2020 22:28:11 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding
Vary: Accept-Encoding

1f56
<!doctype html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>PHP Stack</title>
    <style type=""text/css"">
        .w100{width:100%!important}.text-center{text-align:center}body{padding:0;margin:0;background-color:#fff;font-size:15px;color:#1a1a1a;font-family:sans-serif}header{width:100%;height:70px;background-color:#2e39bf}.site-logo{display:inline-block;width:197px;margin:16px 0}.main-heading{text-align:center}h1{line-height:47px;font-size:36px;color:#1a1a1a;font-weight:lighter}.main-heading h1{margin:0 auto;padding:54px 0}.pg-sec1{background:#f8f8f8;display:block;float:left}.pg-sec1 h3,.pg-sec1 ul{border:none!important}.pg-sec1 h3{margin-top:42px;padding-bottom:32px}.pg-sec1 ul{padding:0!important;margin-bottom:43px}.pg-sec1 ul li{list-style:none!important;display:inline-block;width:32%;text-align:center;margin-bottom:12px}.pg-sec1 ul li:before{display:none!important}.pg-sec1 ul li .box{padding:20px 0 12px 0;display:inline-block;width:93%;margin:0 auto;text-align:center;background:#fff;font-size:22px;line-height:21px;-webkit-box-shadow:0 0 10px 0 #dcdcdc;-moz-box-shadow:0 0 10px 0 #dcdcdc;box-shadow:0 0 10px 0 #dcdcdc}.pg-sec1 ul:before{display:none!important}.pg-sec1 .box span{background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGMAAAQhCAMAAAAOOsHTAAAC+lBMVEUAAAD////mm32NxjNmljF+virTLDT1XT/pUEi/4VLqp5fnwazXPUX5UDr3VztjlS3li5Dvu5tjlC1snjRGbUaxzJrmjXPcXWPltaH7UDsilPNmkThBfu/7UDrNyojfbijli1EaFxtilCz7UDtnmDDrpXRRn9AHrfbiejn7UDv7UDvomWYaFxsaFxveaSGDk/CQfuvqrXjhdGziejukburkgUTfbysaFxt0QelUixv7UDuDIuZpXewaFxsaFxuy2VrhdjX7UDuz2koaFxvZQSj7UDvxvV5/uDjH5WLn0HVUZu0Oc7eIwzAHb7WOw+U1i8U8j8aqz6VHmcwIcrV8mPD////omYAaFxvWPETebCUAAAD+/vr++v77UDv6///8sTvnlHorPV74+vndZRv++vjsW03mjXSdTWX99fLUMTorkvPqKQByQ+n1//00ivKnSmbTKTIhmfPUMxveYlDspZRRaO15OOg5hPBsUOv55d7yWEzh393lX0n76+bZ4fTutajxWlb33NXnXVbqoIry8/JEd++r1kXsrZ7mf230zMKazTs7ffD78OzXPidZXu3108vxvrJIbu4XovVjWetibe2CKebpPwP6qCj8VFDjb17aSS5ZeO8Fb7T202rm6OPyxbpTgPDcWETo6/TokYZ+p1JtY+ukpahwc3baTjyfRl4yMDTu//6hv4HlfD9AOkA1QWEnNlSGOE7ibTnqFAHS09WOsmjfXTImJScJrvdLhvHY5MqxtbxkY2SRQlr1xWHoiUXAwMK70KHtW0TeTUvzu1ofLknsSUfIyc6VxelfO+h8uOLqk0ruplLKTUgTIz+XlpjwsFfOV1XsnU5mq9h9fH37uz8nPGcJFjLWZmNZV1hNS049ksgqh8GHh4xsd4kXfLrI2rVIVOvVeXn41ZjUl5CyforL0/DiydL56MOvSE20x/PqRynBZWGLlaTQIQvUubuhZnVGUWobQli/m6c7PXOipO4zaezpLhxgl/BtJubyiSxZZXhxSmprMUMkGYMKAAAAVXRSTlMA8Q3+7v6tIoH+OBabW0CKTU/AURj9XXwl6+kz6Y78653tpqRpRv7pzd+3h4Fi9vTyc2q666/d1ub90efmu0dK4cG9pMzJubh7+emShcGybUKopd3V5EPkHQAAJBpJREFUeNrsljGOxCAMRS0aaOyegooKjkBHkWP8+19jhSYzBMSsRIZ0vC5RZMc8MKYxSouwcT4mCwRND5AtPliLQA8AwDvDLFoRKYBpPQ6gCgOKlqMBT5UAT+uJwEW01KfnColItJ6jcaAf0S6AazaBpfWEdjOVlMvhNir/q10Juxw1zWLbQgIyjdBsYkDhxnIawLSCZFQBCsEb0YJMkygA7ZGxNMAj6LNeM+/MtYXoL9oDpObj+XNou5x6/Jmu+Wa9x+7kAXEsLtV89sdCeKydMlz9JM43FG6XPnzZHVKTmOmGEtrncQT+1KsZ4OmGIp0hNd7AscT36cZRZCANW36PRUwoWM+a5rBdIW6gXYw/40cjNI8BDroChC6+RSEAougWCt2PV6dKTDzjl/WJMHQT1x+8BJzx2/VRFnz/YofuXuSIF9mIWjFY+OtW0uze8Q/Hui85/FhIiX/g5IzfkW6PYRnwr+N1Cs7toqyYXgSFi2DVHuUlQ2s6BTtR/eXV45FuGsm2Fazw9X+PZSOSwdiu4mPdQGkH2hW/2kpeN+Ad1HAmQDKaltBfLPJujE5oHVL3r7jwvjloLREwlwSIrGg1GgCbhNUS+qaPTsJ6bJXwGBJskbDZbDabzWaz2Ww2m80f+2WoKysMhGFyngG3qh50FWt4hsmI63gNLM+BWMFJEFVNEFTgkBgMJPsut8CSIVx2N3c7R5yEz5AV2+af/592enJy8uvxwyCOpJRRHIS+9wNcY4FbRHz1eAkl/osMOTVIPEZyafEjfE7ks4gQ+ArBICXEdzi7EuB7AmYV/Equ+ILS3PuhwgkHT/wXdqvmT9NpyMfZ+M/T9SK0fZKNiAYgm5VEP2DGHcDYTwMAI1nCWikD0KClBUgqpGoxxlZliwwcW22cAvxcRgOQ4Q7B4MbQ1UWv1kpBjXtC11CNGiBvb1CUiKgBoLff6lsh8UG0vvYGFJMYnSsc4JEmPQWX+HJrccpPkQ0F2F+TjGTairg6pUoBmXxPEgDQ836k47NkxUgYsHxT+z0KlyYGN8Te/yKRmB1IBpwpwJJpnSW1wi3SqTuqZF53WTIFS2/MWDl3CG7pYCKdVi1hosID3PaoUpjoVm9yZN2j1EmHqPK5WqukhmcPsYmRmrvQUiK2iyDCwQ+5sWIyu4elD2f7KbNOuYqoN/Sa32a1vMQDos/7vIECLbWVoR6WpzwjEJ1XVQG1MQ1APq6WF0i4nFc+/Vl1bZ42fbWosgx4hM81lEzxuuEREddUoii5e0KWsWRN8GGqhM81lzRPZQTu8xUdwLeKR8ZeyKizYi2V4ZGxP0/KbLkHq/xZpaT3KZftXXufG7DAQy7OT5wRANoSe1LBkNu9JbWVMdSQGv7HGo0nfZvr2uAxMeejk1kFEb55n4ceAxeJz5GUKG4pJII"
casinoking.com,10,"HTTP/1.1 200 OK
Server: nginx
Date: Wed, 22 Jan 2020 22:28:11 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Accept-Encoding
Vary: Accept-Encoding

1f56
<!doctype html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>PHP Stack</title>
    <style type=""text/css"">
        .w100{width:100%!important}.text-center{text-align:center}body{padding:0;margin:0;background-color:#fff;font-size:15px;color:#1a1a1a;font-family:sans-serif}header{width:100%;height:70px;background-color:#2e39bf}.site-logo{display:inline-block;width:197px;margin:16px 0}.main-heading{text-align:center}h1{line-height:47px;font-size:36px;color:#1a1a1a;font-weight:lighter}.main-heading h1{margin:0 auto;padding:54px 0}.pg-sec1{background:#f8f8f8;display:block;float:left}.pg-sec1 h3,.pg-sec1 ul{border:none!important}.pg-sec1 h3{margin-top:42px;padding-bottom:32px}.pg-sec1 ul{padding:0!important;margin-bottom:43px}.pg-sec1 ul li{list-style:none!important;display:inline-block;width:32%;text-align:center;margin-bottom:12px}.pg-sec1 ul li:before{display:none!important}.pg-sec1 ul li .box{padding:20px 0 12px 0;display:inline-block;width:93%;margin:0 auto;text-align:center;background:#fff;font-size:22px;line-height:21px;-webkit-box-shadow:0 0 10px 0 #dcdcdc;-moz-box-shadow:0 0 10px 0 #dcdcdc;box-shadow:0 0 10px 0 #dcdcdc}.pg-sec1 ul:before{display:none!important}.pg-sec1 .box span{background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGMAAAQhCAMAAAAOOsHTAAAC+lBMVEUAAAD////mm32NxjNmljF+virTLDT1XT/pUEi/4VLqp5fnwazXPUX5UDr3VztjlS3li5Dvu5tjlC1snjRGbUaxzJrmjXPcXWPltaH7UDsilPNmkThBfu/7UDrNyojfbijli1EaFxtilCz7UDtnmDDrpXRRn9AHrfbiejn7UDv7UDvomWYaFxsaFxveaSGDk/CQfuvqrXjhdGziejukburkgUTfbysaFxt0QelUixv7UDuDIuZpXewaFxsaFxuy2VrhdjX7UDuz2koaFxvZQSj7UDvxvV5/uDjH5WLn0HVUZu0Oc7eIwzAHb7WOw+U1i8U8j8aqz6VHmcwIcrV8mPD////omYAaFxvWPETebCUAAAD+/vr++v77UDv6///8sTvnlHorPV74+vndZRv++vjsW03mjXSdTWX99fLUMTorkvPqKQByQ+n1//00ivKnSmbTKTIhmfPUMxveYlDspZRRaO15OOg5hPBsUOv55d7yWEzh393lX0n76+bZ4fTutajxWlb33NXnXVbqoIry8/JEd++r1kXsrZ7mf230zMKazTs7ffD78OzXPidZXu3108vxvrJIbu4XovVjWetibe2CKebpPwP6qCj8VFDjb17aSS5ZeO8Fb7T202rm6OPyxbpTgPDcWETo6/TokYZ+p1JtY+ukpahwc3baTjyfRl4yMDTu//6hv4HlfD9AOkA1QWEnNlSGOE7ibTnqFAHS09WOsmjfXTImJScJrvdLhvHY5MqxtbxkY2SRQlr1xWHoiUXAwMK70KHtW0TeTUvzu1ofLknsSUfIyc6VxelfO+h8uOLqk0ruplLKTUgTIz+XlpjwsFfOV1XsnU5mq9h9fH37uz8nPGcJFjLWZmNZV1hNS049ksgqh8GHh4xsd4kXfLrI2rVIVOvVeXn41ZjUl5CyforL0/DiydL56MOvSE20x/PqRynBZWGLlaTQIQvUubuhZnVGUWobQli/m6c7PXOipO4zaezpLhxgl/BtJubyiSxZZXhxSmprMUMkGYMKAAAAVXRSTlMA8Q3+7v6tIoH+OBabW0CKTU/AURj9XXwl6+kz6Y78653tpqRpRv7pzd+3h4Fi9vTyc2q666/d1ub90efmu0dK4cG9pMzJubh7+emShcGybUKopd3V5EPkHQAAJBpJREFUeNrsljGOxCAMRS0aaOyegooKjkBHkWP8+19jhSYzBMSsRIZ0vC5RZMc8MKYxSouwcT4mCwRND5AtPliLQA8AwDvDLFoRKYBpPQ6gCgOKlqMBT5UAT+uJwEW01KfnColItJ6jcaAf0S6AazaBpfWEdjOVlMvhNir/q10Juxw1zWLbQgIyjdBsYkDhxnIawLSCZFQBCsEb0YJMkygA7ZGxNMAj6LNeM+/MtYXoL9oDpObj+XNou5x6/Jmu+Wa9x+7kAXEsLtV89sdCeKydMlz9JM43FG6XPnzZHVKTmOmGEtrncQT+1KsZ4OmGIp0hNd7AscT36cZRZCANW36PRUwoWM+a5rBdIW6gXYw/40cjNI8BDroChC6+RSEAougWCt2PV6dKTDzjl/WJMHQT1x+8BJzx2/VRFnz/YofuXuSIF9mIWjFY+OtW0uze8Q/Hui85/FhIiX/g5IzfkW6PYRnwr+N1Cs7toqyYXgSFi2DVHuUlQ2s6BTtR/eXV45FuGsm2Fazw9X+PZSOSwdiu4mPdQGkH2hW/2kpeN+Ad1HAmQDKaltBfLPJujE5oHVL3r7jwvjloLREwlwSIrGg1GgCbhNUS+qaPTsJ6bJXwGBJskbDZbDabzWaz2Ww2m80f+2WoKysMhGFyngG3qh50FWt4hsmI63gNLM+BWMFJEFVNEFTgkBgMJPsut8CSIVx2N3c7R5yEz5AV2+af/592enJy8uvxwyCOpJRRHIS+9wNcY4FbRHz1eAkl/osMOTVIPEZyafEjfE7ks4gQ+ArBICXEdzi7EuB7AmYV/Equ+ILS3PuhwgkHT/wXdqvmT9NpyMfZ+M/T9SK0fZKNiAYgm5VEP2DGHcDYTwMAI1nCWikD0KClBUgqpGoxxlZliwwcW22cAvxcRgOQ4Q7B4MbQ1UWv1kpBjXtC11CNGiBvb1CUiKgBoLff6lsh8UG0vvYGFJMYnSsc4JEmPQWX+HJrccpPkQ0F2F+TjGTairg6pUoBmXxPEgDQ836k47NkxUgYsHxT+z0KlyYGN8Te/yKRmB1IBpwpwJJpnSW1wi3SqTuqZF53WTIFS2/MWDl3CG7pYCKdVi1hosID3PaoUpjoVm9yZN2j1EmHqPK5WqukhmcPsYmRmrvQUiK2iyDCwQ+5sWIyu4elD2f7KbNOuYqoN/Sa32a1vMQDos/7vIECLbWVoR6WpzwjEJ1XVQG1MQ1APq6WF0i4nFc+/Vl1bZ42fbWosgx4hM81lEzxuuEREddUoii5e0KWsWRN8GGqhM81lzRPZQTu8xUdwLeKR8ZeyKizYi2V4ZGxP0/KbLkHq/xZpaT3KZftXXufG7DAQy7OT5wRANoSe1LBkNu9JbWVMdSQGv7HGo0nfZvr2uAxMeejk1kFEb55n4ceAxeJz5GUKG4pJII"
