URL,TTL,Message
dns-shop.ru,1,timed out
dns-shop.ru,2,timed out
dns-shop.ru,3,timed out
dns-shop.ru,4,timed out
dns-shop.ru,5,[Errno 104] Connection reset by peer
dns-shop.ru,6,[Errno 104] Connection reset by peer
dns-shop.ru,7,[Errno 104] Connection reset by peer
dns-shop.ru,8,[Errno 104] Connection reset by peer
dns-shop.ru,9,[Errno 104] Connection reset by peer
dns-shop.ru,10,[Errno 104] Connection reset by peer
dns-shop.ru,11,[Errno 104] Connection reset by peer
dns-shop.ru,12,[Errno 104] Connection reset by peer
dns-shop.ru,13,[Errno 104] Connection reset by peer
dns-shop.ru,14,[Errno 104] Connection reset by peer
dns-shop.ru,15,[Errno 104] Connection reset by peer
dns-shop.ru,16,[Errno 104] Connection reset by peer
dns-shop.ru,17,[Errno 104] Connection reset by peer
dns-shop.ru,18,[Errno 104] Connection reset by peer
dns-shop.ru,19,[Errno 104] Connection reset by peer
dns-shop.ru,20,[Errno 104] Connection reset by peer
dns-shop.ru,21,[Errno 104] Connection reset by peer
dns-shop.ru,22,[Errno 104] Connection reset by peer
dns-shop.ru,23,[Errno 104] Connection reset by peer
dns-shop.ru,24,[Errno 104] Connection reset by peer
dns-shop.ru,25,[Errno 104] Connection reset by peer
dns-shop.ru,26,[Errno 104] Connection reset by peer
dns-shop.ru,27,[Errno 104] Connection reset by peer
dns-shop.ru,28,[Errno 104] Connection reset by peer
dns-shop.ru,29,[Errno 104] Connection reset by peer
