URL,TTL,Message
match.privet.ru,1,timed out
match.privet.ru,2,timed out
match.privet.ru,3,timed out
match.privet.ru,4,timed out
match.privet.ru,5,timed out
match.privet.ru,6,timed out
match.privet.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,18,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,19,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,20,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,21,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,22,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,23,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,24,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:44 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,25,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:45 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,26,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:45 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,27,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:45 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,28,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:45 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
match.privet.ru,29,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:27:45 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: http://teamo.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
