URL,TTL,Message
segodnya.ua,1,timed out
segodnya.ua,2,timed out
segodnya.ua,3,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,4,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,5,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,6,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,7,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,8,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,9,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,10,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,11,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,12,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,13,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,14,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,15,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,16,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,17,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,18,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,19,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,20,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,21,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,22,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,23,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,24,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,25,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,26,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,27,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,28,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
segodnya.ua,29,"HTTP/1.1 302 Found
Cache-Control: no-cache
Content-length: 0
Location: https://ojaloberoi.in/
Connection: close

"
