URL,TTL,Message
thg.ru,1,timed out
thg.ru,2,timed out
thg.ru,3,timed out
thg.ru,4,timed out
thg.ru,5,timed out
thg.ru,6,timed out
thg.ru,7,timed out
thg.ru,8,timed out
thg.ru,9,timed out
thg.ru,10,timed out
thg.ru,11,timed out
thg.ru,12,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 08:57:27 GMT
Server: Apache/1.3.41 (Unix) PHP/5.2.6 with Suhosin-Patch mod_perl/1.30
Location: http://www.thg.ru/
Keep-Alive: timeout=5, max=99
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

121
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""http://www.thg.ru/"">here</A>.<P>
<HR>
<ADDRESS>Apache/1.3.41 Server at www.thg.ru Port 80</ADDRESS>
</BODY></HTML>

0

"
thg.ru,13,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 08:57:27 GMT
Server: Apache/1.3.41 (Unix) PHP/5.2.6 with Suhosin-Patch mod_perl/1.30
Location: http://www.thg.ru/
Keep-Alive: timeout=5, max=99
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

121
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""http://www.thg.ru/"">here</A>.<P>
<HR>
<ADDRESS>Apache/1.3.41 Server at www.thg.ru Port 80</ADDRESS>
</BODY></HTML>

0

"
thg.ru,14,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 08:57:27 GMT
Server: Apache/1.3.41 (Unix) PHP/5.2.6 with Suhosin-Patch mod_perl/1.30
Location: http://www.thg.ru/
Keep-Alive: timeout=5, max=99
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

121
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""http://www.thg.ru/"">here</A>.<P>
<HR>
<ADDRESS>Apache/1.3.41 Server at www.thg.ru Port 80</ADDRESS>
</BODY></HTML>

0

"
