URL,TTL,Message
vrachirf.ru,1,timed out
vrachirf.ru,2,timed out
vrachirf.ru,3,timed out
vrachirf.ru,4,timed out
vrachirf.ru,5,timed out
vrachirf.ru,6,timed out
vrachirf.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.1
Date: Thu, 23 Jan 2020 07:33:02 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://drugchoice.vrachirf.ru/
X-XSS-Protection: 1; mode=block

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.1</center>
</body>
</html>
"
vrachirf.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.1
Date: Thu, 23 Jan 2020 07:33:02 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://drugchoice.vrachirf.ru/
X-XSS-Protection: 1; mode=block

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.1</center>
</body>
</html>
"
vrachirf.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.1
Date: Thu, 23 Jan 2020 07:33:02 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://drugchoice.vrachirf.ru/
X-XSS-Protection: 1; mode=block

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.1</center>
</body>
</html>
"
vrachirf.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.1
Date: Thu, 23 Jan 2020 07:33:02 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Location: https://drugchoice.vrachirf.ru/
X-XSS-Protection: 1; mode=block

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.1</center>
</body>
</html>
"
