URL,TTL,Message
webapteka.ru,1,timed out
webapteka.ru,2,timed out
webapteka.ru,3,timed out
webapteka.ru,4,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:00 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,5,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:00 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,6,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:00 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,7,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,8,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,9,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,10,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,11,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,12,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,13,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,14,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,15,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
webapteka.ru,16,"HTTP/1.1 301 Moved Permanently
Date: Thu, 23 Jan 2020 07:47:01 GMT
Server: Apache/1.3.41 (Unix) mod_deflate/1.0.21 mod_ssl/2.8.31 OpenSSL/0.9.8zh rus/PL30.22
Location: https://www.webapteka.ru/
Keep-Alive: timeout=2, max=19
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=iso-8859-1

e5 
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>301 Moved Permanently</TITLE>
</HEAD><BODY>
<H1>Moved Permanently</H1>
The document has moved <A HREF=""https://www.webapteka.ru/"">here</A>.<P>
</BODY></HTML>

0

"
