URL,TTL,Response_Message
anekdot-blogger.blogspot.com,0,"traceroute to anekdot-blogger.blogspot.com (216.58.209.1), 30 hops max, 60 byte packets
"
anekdot-blogger.blogspot.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.372 ms  0.397 ms  0.389 ms
"
anekdot-blogger.blogspot.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.548 ms  0.676 ms  0.656 ms
"
anekdot-blogger.blogspot.com,3," 3  * * *
"
anekdot-blogger.blogspot.com,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.759 ms  0.705 ms  0.791 ms
"
anekdot-blogger.blogspot.com,5," 5  108.170.248.131 (108.170.248.131)  10.852 ms 108.170.248.147 (108.170.248.147)  0.893 ms  1.044 ms
"
anekdot-blogger.blogspot.com,6," 6  209.85.248.105 (209.85.248.105)  15.483 ms  14.950 ms 108.170.234.206 (108.170.234.206)  1.201 ms
"
anekdot-blogger.blogspot.com,7," 7  108.170.250.209 (108.170.250.209)  18.553 ms 209.85.251.188 (209.85.251.188)  14.521 ms 216.239.46.121 (216.239.46.121)  15.015 ms
"
anekdot-blogger.blogspot.com,8," 8  172.253.68.29 (172.253.68.29)  15.676 ms 108.170.250.193 (108.170.250.193)  13.862 ms  13.856 ms
"
anekdot-blogger.blogspot.com,9," 9  172.253.68.29 (172.253.68.29)  15.617 ms 172.253.68.31 (172.253.68.31)  15.522 ms sof01s12-in-f1.1e100.net (216.58.209.1)  13.874 ms
"
