URL,TTL,Response_Message
blog.kp.ru,0,"traceroute to blog.kp.ru (95.163.94.91), 30 hops max, 60 byte packets
"
blog.kp.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.307 ms  0.294 ms  0.324 ms
"
blog.kp.ru,2," 2  dtel-ix.cloud-ix.net (193.25.180.81)  0.944 ms  1.028 ms  1.018 ms
"
blog.kp.ru,3," 3  * * *
"
blog.kp.ru,4," 4  kp.msk.cloud-ix.net (31.28.19.208)  17.174 ms  16.595 ms  16.590 ms
"
blog.kp.ru,5," 5  * * *
"
blog.kp.ru,6," 6  * * *
"
blog.kp.ru,7," 7  * * *
"
blog.kp.ru,8," 8  * * *
"
blog.kp.ru,9," 9  * * *
"
blog.kp.ru,10,"10  * * *
"
blog.kp.ru,11,"11  * * *
"
blog.kp.ru,12,"12  * * *
"
blog.kp.ru,13,"13  * * *
"
blog.kp.ru,14,"14  * * *
"
blog.kp.ru,15,"15  * * *
"
blog.kp.ru,16,"16  * * *
"
blog.kp.ru,17,"17  * * *
"
blog.kp.ru,18,"18  * * *
"
blog.kp.ru,19,"19  * * *
"
blog.kp.ru,20,"20  * * *
"
blog.kp.ru,21,"21  * * *
"
blog.kp.ru,22,"22  * * *
"
blog.kp.ru,23,"23  * * *
"
blog.kp.ru,24,"24  * * *
"
blog.kp.ru,25,"25  * * *
"
blog.kp.ru,26,"26  * * *
"
blog.kp.ru,27,"27  * * *
"
blog.kp.ru,28,"28  * * *
"
blog.kp.ru,29,"29  * * *
"
blog.kp.ru,30,"30  * * *
"
