URL,TTL,Response_Message
fei.ru,0,"traceroute to fei.ru (109.206.181.64), 30 hops max, 60 byte packets
"
fei.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.275 ms  1.277 ms  1.302 ms
"
fei.ru,2," 2  dtel-ix.netassist.ua (193.25.180.52)  0.441 ms  0.458 ms  0.416 ms
"
fei.ru,3," 3  62.205.132.223 (62.205.132.223)  29.561 ms  29.727 ms  29.756 ms
"
fei.ru,4," 4  serverel.telecity5.nl-ix.net (193.239.117.162)  34.578 ms  34.613 ms  34.504 ms
"
fei.ru,5," 5  * * *
"
fei.ru,6," 6  * * *
"
fei.ru,7," 7  * * *
"
fei.ru,8," 8  * * *
"
fei.ru,9," 9  * * *
"
fei.ru,10,"10  * * *
"
fei.ru,11,"11  * * *
"
fei.ru,12,"12  * * *
"
fei.ru,13,"13  * * *
"
fei.ru,14,"14  * * *
"
fei.ru,15,"15  * * *
"
fei.ru,16,"16  * * *
"
fei.ru,17,"17  * * *
"
fei.ru,18,"18  * * *
"
fei.ru,19,"19  * * *
"
fei.ru,20,"20  * * *
"
fei.ru,21,"21  * * *
"
fei.ru,22,"22  * * *
"
fei.ru,23,"23  * * *
"
fei.ru,24,"24  * * *
"
fei.ru,25,"25  * * *
"
fei.ru,26,"26  * * *
"
fei.ru,27,"27  * * *
"
fei.ru,28,"28  * * *
"
fei.ru,29,"29  * * *
"
fei.ru,30,"30  * * *
"
