URL,TTL,Response_Message
grani.punkchords.com,0,"traceroute to grani.punkchords.com (184.168.204.1), 30 hops max, 60 byte packets
"
grani.punkchords.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.352 ms  0.341 ms  0.377 ms
"
grani.punkchords.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.681 ms  0.556 ms  0.670 ms
"
grani.punkchords.com,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.968 ms  30.975 ms  30.963 ms
"
grani.punkchords.com,4," 4  * * *
"
grani.punkchords.com,5," 5  ae-2-30.bear2.Phoenix1.Level3.net (4.69.210.161)  165.722 ms  166.545 ms  164.695 ms
"
grani.punkchords.com,6," 6  4.28.83.74 (4.28.83.74)  166.533 ms  165.773 ms  167.091 ms
"
grani.punkchords.com,7," 7  148.72.32.11 (148.72.32.11)  165.739 ms 148.72.32.7 (148.72.32.7)  168.111 ms  167.812 ms
"
grani.punkchords.com,8," 8  be38.trmc0215-01.ars.mgmt.phx3.gdg (184.168.0.69)  167.546 ms be39.trmc0215-01.ars.mgmt.phx3.gdg (184.168.0.73)  165.698 ms  165.239 ms
"
grani.punkchords.com,9," 9  ip-97-74-255-129.ip.secureserver.net (97.74.255.129)  166.190 ms  167.487 ms  167.603 ms
"
grani.punkchords.com,10,"10  lbma1105-03.ars2.mgmt.phx3.secureserver.net (184.168.1.240)  165.397 ms  165.946 ms  165.949 ms
"
grani.punkchords.com,11,"11  p3nlhg126c1126.shr.prod.phx3.secureserver.net (184.168.204.1)  166.832 ms  166.123 ms  165.527 ms
"
