URL,TTL,Response_Message
informator.lg.ua,0,"traceroute to informator.lg.ua (185.26.126.170), 30 hops max, 60 byte packets
"
informator.lg.ua,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.572 ms  0.559 ms  0.556 ms
"
informator.lg.ua,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.542 ms  0.603 ms  0.591 ms
"
informator.lg.ua,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.725 ms  28.719 ms  28.692 ms
"
informator.lg.ua,4," 4  g0-0-0-1.decix-core2-lux.gandi.net (80.81.193.41)  55.735 ms  50.841 ms  55.741 ms
"
informator.lg.ua,5," 5  * * *
"
informator.lg.ua,6," 6  * * *
"
informator.lg.ua,7," 7  * * *
"
informator.lg.ua,8," 8  * * *
"
informator.lg.ua,9," 9  * * *
"
informator.lg.ua,10,"10  * * *
"
informator.lg.ua,11,"11  * * *
"
informator.lg.ua,12,"12  * * *
"
informator.lg.ua,13,"13  * * *
"
informator.lg.ua,14,"14  * * *
"
informator.lg.ua,15,"15  * * *
"
informator.lg.ua,16,"16  * * *
"
informator.lg.ua,17,"17  * * *
"
informator.lg.ua,18,"18  * * *
"
informator.lg.ua,19,"19  * * *
"
informator.lg.ua,20,"20  * * *
"
informator.lg.ua,21,"21  * * *
"
informator.lg.ua,22,"22  * * *
"
informator.lg.ua,23,"23  * * *
"
informator.lg.ua,24,"24  * * *
"
informator.lg.ua,25,"25  * * *
"
informator.lg.ua,26,"26  * * *
"
informator.lg.ua,27,"27  * * *
"
informator.lg.ua,28,"28  * * *
"
informator.lg.ua,29,"29  * * *
"
informator.lg.ua,30,"30  * * *
"
