URL,TTL,Response_Message
mamba.ru,0,"traceroute to mamba.ru (185.203.72.22), 30 hops max, 60 byte packets
"
mamba.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.289 ms  0.278 ms  0.307 ms
"
mamba.ru,2," 2  * * *
"
mamba.ru,3," 3  as9049.ix.dataix.ru (178.18.226.90)  16.959 ms  16.899 ms  16.171 ms
"
mamba.ru,4," 4  * * *
"
mamba.ru,5," 5  * * *
"
mamba.ru,6," 6  * * *
"
mamba.ru,7," 7  * * *
"
mamba.ru,8," 8  * * *
"
mamba.ru,9," 9  * * *
"
mamba.ru,10,"10  * * *
"
mamba.ru,11,"11  * * *
"
mamba.ru,12,"12  * * *
"
mamba.ru,13,"13  * * *
"
mamba.ru,14,"14  185.203.72.22 (185.203.72.22)  16.749 ms  16.036 ms  17.951 ms
"
