URL,TTL,Response_Message
memo.ru,0,"traceroute to memo.ru (62.75.198.135), 30 hops max, 60 byte packets
"
memo.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.310 ms  0.366 ms
"
memo.ru,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.788 ms  0.775 ms  0.591 ms
"
memo.ru,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.637 ms  28.686 ms  28.758 ms
"
memo.ru,4," 4  et-7-0-0-u100.cr-polaris.fra1.bb.godaddy.com (80.81.192.239)  28.627 ms  30.959 ms  28.647 ms
"
memo.ru,5," 5  ae0.cr-antares.fra10.bb.godaddy.com (87.230.115.1)  31.961 ms  29.934 ms  29.989 ms
"
memo.ru,6," 6  ae0.cr-vega.sxb1.bb.godaddy.com (87.230.115.3)  33.632 ms  33.744 ms  31.282 ms
"
memo.ru,7," 7  ae0-v100.sr-helios.sxb1.mass.systems (87.230.112.5)  33.808 ms  31.511 ms  31.298 ms
"
memo.ru,8," 8  62.138.129.14 (62.138.129.14)  31.175 ms  33.774 ms  31.229 ms
"
memo.ru,9," 9  dj.j-vista.ru (62.75.198.135)  33.722 ms  31.156 ms  33.777 ms
"
