URL,TTL,Response_Message
nahnews.org,0,"traceroute to nahnews.org (212.92.101.182), 30 hops max, 60 byte packets
"
nahnews.org,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.316 ms  0.306 ms  0.337 ms
"
nahnews.org,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.767 ms  0.813 ms  0.809 ms
"
nahnews.org,3," 3  10.11.12.17 (10.11.12.17)  0.970 ms  0.956 ms  1.061 ms
"
nahnews.org,4," 4  * * *
"
nahnews.org,5," 5  ae3-212.RT.NTL.KIV.UA.retn.net (87.245.237.8)  0.998 ms  0.924 ms  0.977 ms
"
nahnews.org,6," 6  ae5-9.RT.KM.SPB.RU.retn.net (87.245.233.70)  29.614 ms ae0-14.RT.KM.SPB.RU.retn.net (87.245.232.249)  29.259 ms ae5-9.RT.KM.SPB.RU.retn.net (87.245.233.70)  29.610 ms
"
nahnews.org,7," 7  GW-Selectel.retn.net (87.245.252.115)  25.611 ms  25.513 ms  25.502 ms
"
nahnews.org,8," 8  * * *
"
nahnews.org,9," 9  212.92.101.182 (212.92.101.182)  28.146 ms  27.330 ms  28.800 ms
"
