URL,TTL,Response_Message
poehali.tv,0,"traceroute to poehali.tv (217.16.26.102), 30 hops max, 60 byte packets
"
poehali.tv,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.683 ms  2.672 ms  2.721 ms
"
poehali.tv,2," 2  * * *
"
poehali.tv,3," 3  10.11.12.17 (10.11.12.17)  0.861 ms  1.306 ms  0.877 ms
"
poehali.tv,4," 4  * * *
"
poehali.tv,5," 5  ae3-212.RT.NTL.KIV.UA.retn.net (87.245.237.8)  1.267 ms  1.258 ms  1.245 ms
"
poehali.tv,6," 6  ae2-7.RT1.M9.MSK.RU.retn.net (87.245.233.91)  19.845 ms  19.853 ms  19.702 ms
"
poehali.tv,7," 7  GW-MasterHost.retn.net (87.245.255.143)  18.585 ms  18.608 ms  18.508 ms
"
poehali.tv,8," 8  msk-ff-22-vl18.masterhost.ru (217.16.23.242)  103.258 ms * *
"
poehali.tv,9," 9  new.1tv.com (217.16.26.102)  19.452 ms  20.081 ms  18.577 ms
"
