URL,TTL,Response_Message
satanism.ru,0,"traceroute to satanism.ru (193.106.94.157), 30 hops max, 60 byte packets
"
satanism.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.291 ms  0.299 ms  0.342 ms
"
satanism.ru,2," 2  * * *
"
satanism.ru,3," 3  as49063.ix.dataix.ru (178.18.226.81)  16.575 ms  16.583 ms  17.312 ms
"
satanism.ru,4," 4  10.200.16.150 (10.200.16.150)  20.596 ms  20.337 ms  20.490 ms
"
satanism.ru,5," 5  10.200.16.210 (10.200.16.210)  18.283 ms  18.009 ms  18.014 ms
"
satanism.ru,6," 6  10.200.16.78 (10.200.16.78)  18.040 ms  18.681 ms  17.911 ms
"
satanism.ru,7," 7  91.107.70.141 (91.107.70.141)  16.769 ms  17.507 ms  19.078 ms
"
satanism.ru,8," 8  * * *
"
satanism.ru,9," 9  * * *
"
satanism.ru,10,"10  * * *
"
satanism.ru,11,"11  * * *
"
satanism.ru,12,"12  * * *
"
satanism.ru,13,"13  * * *
"
satanism.ru,14,"14  * * *
"
satanism.ru,15,"15  * * *
"
satanism.ru,16,"16  * * *
"
satanism.ru,17,"17  * * *
"
satanism.ru,18,"18  * * *
"
satanism.ru,19,"19  * * *
"
satanism.ru,20,"20  * * *
"
satanism.ru,21,"21  * * *
"
satanism.ru,22,"22  * * *
"
satanism.ru,23,"23  * * *
"
satanism.ru,24,"24  * * *
"
satanism.ru,25,"25  * * *
"
satanism.ru,26,"26  * * *
"
satanism.ru,27,"27  * * *
"
satanism.ru,28,"28  * * *
"
satanism.ru,29,"29  * * *
"
satanism.ru,30,"30  * * *
"
