URL,TTL,Response_Message
wmsc1.webmoney.ru,0,"traceroute to wmsc1.webmoney.ru (212.118.48.135), 30 hops max, 60 byte packets
"
wmsc1.webmoney.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.347 ms  0.323 ms  0.292 ms
"
wmsc1.webmoney.ru,2," 2  * * *
"
wmsc1.webmoney.ru,3," 3  * * *
"
wmsc1.webmoney.ru,4," 4  * * *
"
wmsc1.webmoney.ru,5," 5  * * *
"
wmsc1.webmoney.ru,6," 6  * * *
"
wmsc1.webmoney.ru,7," 7  * * *
"
wmsc1.webmoney.ru,8," 8  * * *
"
wmsc1.webmoney.ru,9," 9  * * *
"
wmsc1.webmoney.ru,10,"10  * * *
"
wmsc1.webmoney.ru,11,"11  * * *
"
wmsc1.webmoney.ru,12,"12  * * *
"
wmsc1.webmoney.ru,13,"13  * * *
"
wmsc1.webmoney.ru,14,"14  * * *
"
wmsc1.webmoney.ru,15,"15  * * *
"
wmsc1.webmoney.ru,16,"16  * * *
"
wmsc1.webmoney.ru,17,"17  * * *
"
wmsc1.webmoney.ru,18,"18  * * *
"
wmsc1.webmoney.ru,19,"19  * * *
"
wmsc1.webmoney.ru,20,"20  * * *
"
wmsc1.webmoney.ru,21,"21  * * *
"
wmsc1.webmoney.ru,22,"22  * * *
"
wmsc1.webmoney.ru,23,"23  * * *
"
wmsc1.webmoney.ru,24,"24  * * *
"
wmsc1.webmoney.ru,25,"25  * * *
"
wmsc1.webmoney.ru,26,"26  * * *
"
wmsc1.webmoney.ru,27,"27  * * *
"
wmsc1.webmoney.ru,28,"28  * * *
"
wmsc1.webmoney.ru,29,"29  * * *
"
wmsc1.webmoney.ru,30,"30  * * *
"
