URL,TTL,Response_Message
milli-mejlis.blogspot.com,0,"traceroute to milli-mejlis.blogspot.com (216.58.209.1), 50 hops max, 60 byte packets
"
milli-mejlis.blogspot.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.309 ms  0.297 ms  0.316 ms
"
milli-mejlis.blogspot.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.586 ms  0.580 ms  0.560 ms
"
milli-mejlis.blogspot.com,3," 3  100.64.64.58 (100.64.64.58)  0.704 ms  0.687 ms  0.679 ms
"
milli-mejlis.blogspot.com,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.670 ms  0.752 ms  0.653 ms
"
milli-mejlis.blogspot.com,5," 5  108.170.248.147 (108.170.248.147)  0.880 ms  1.051 ms 108.170.248.131 (108.170.248.131)  0.865 ms
"
milli-mejlis.blogspot.com,6," 6  209.85.248.105 (209.85.248.105)  14.437 ms  13.883 ms  14.724 ms
"
milli-mejlis.blogspot.com,7," 7  216.239.46.121 (216.239.46.121)  15.088 ms 108.170.250.209 (108.170.250.209)  16.454 ms 108.170.250.193 (108.170.250.193)  14.435 ms
"
milli-mejlis.blogspot.com,8," 8  172.253.68.31 (172.253.68.31)  14.983 ms 108.170.250.209 (108.170.250.209)  15.484 ms 172.253.68.31 (172.253.68.31)  14.356 ms
"
milli-mejlis.blogspot.com,9," 9  172.253.68.29 (172.253.68.29)  15.231 ms  15.001 ms 172.253.68.31 (172.253.68.31)  14.980 ms
"
milli-mejlis.blogspot.com,10,"10  waw02s18-in-f1.1e100.net (216.58.209.1)  14.607 ms  14.354 ms  14.661 ms
"
