URL,TTL,Response_Message
mirtesen.ru,0,"traceroute to mirtesen.ru (95.131.27.120), 50 hops max, 60 byte packets
"
mirtesen.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.310 ms  0.295 ms  0.328 ms
"
mirtesen.ru,2," 2  178.18.230.251.dataix (178.18.230.251)  16.812 ms  18.300 ms  19.399 ms
"
mirtesen.ru,3," 3  as49063.ix.dataix.ru (178.18.226.81)  16.606 ms  16.608 ms  16.614 ms
"
mirtesen.ru,4," 4  10.0.1.78 (10.0.1.78)  23.393 ms  20.852 ms  20.865 ms
"
mirtesen.ru,5," 5  10.200.16.206 (10.200.16.206)  20.003 ms  20.030 ms  19.746 ms
"
mirtesen.ru,6," 6  10.200.16.71 (10.200.16.71)  17.938 ms  17.887 ms  17.717 ms
"
mirtesen.ru,7," 7  10.200.16.52 (10.200.16.52)  18.862 ms 10.200.16.54 (10.200.16.54)  18.080 ms 10.200.16.52 (10.200.16.52)  18.754 ms
"
mirtesen.ru,8," 8  10.200.16.101 (10.200.16.101)  17.798 ms 10.200.16.13 (10.200.16.13)  20.108 ms 10.200.16.101 (10.200.16.101)  18.249 ms
"
mirtesen.ru,9," 9  10.200.16.7 (10.200.16.7)  18.708 ms  18.181 ms  17.748 ms
"
mirtesen.ru,10,"10  95.131.26.196 (95.131.26.196)  17.479 ms  17.479 ms  18.337 ms
"
mirtesen.ru,11,"11  95.131.27.120 (95.131.27.120)  17.758 ms  20.274 ms  17.444 ms
"
