URL,TTL,Message
5-tv.ru,1,timed out
5-tv.ru,2,timed out
5-tv.ru,3,timed out
5-tv.ru,4,timed out
5-tv.ru,5,timed out
5-tv.ru,6,timed out
5-tv.ru,7,timed out
5-tv.ru,8,timed out
5-tv.ru,9,timed out
5-tv.ru,10,timed out
5-tv.ru,11,timed out
5-tv.ru,12,timed out
5-tv.ru,13,timed out
5-tv.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 06:13:11 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Keep-Alive: timeout=15
Location: https://www.5-tv.ru/
X-VARITI-CCR: 5544157165:1
Set-Cookie: ipp_uid2=A9NeON3g1IlgWQBP/sp/3FJSU51HaO3QTcauvFQ==; expires=Tue, 31 Dec 2030 23:59:59 GMT; path=/
Set-Cookie: ipp_uid1=1579759990986; expires=Tue, 31 Dec 2030 23:59:59 GMT; path=/
Set-Cookie: ipp_uid=1579759990986/A9NeON3g1IlgWQBP/sp/3FJSU51HaO3QTcauvFQ==; expires=Tue, 31 Dec 2030 23:59:59 GMT; path=/
Set-Cookie: rerf=AAAAAF4pOXc+GeQGAyhZAg==; expires=Sat, 22-Feb-20 06:13:11 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.12.0</center>
</body>
</html>
"
