URL,TTL,Message
compromat.ru,1,
compromat.ru,2,
compromat.ru,3,
compromat.ru,4,
compromat.ru,5,
compromat.ru,6,
compromat.ru,7,
compromat.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
compromat.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 07:20:19 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 215
Connection: keep-alive
Location: http://www.compromat.ru/

<head><title>Документ перемещен</title></head>
<body><h1>Объект перемещен</h1>Документ теперь находится <a HREF=""http://www.compromat.ru/"">здесь</a></body>"
