URL,TTL,Message
dni.ru,1,timed out
dni.ru,2,timed out
dni.ru,3,timed out
dni.ru,4,timed out
dni.ru,5,timed out
dni.ru,6,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,18,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,19,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,20,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,21,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,22,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,23,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,24,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,25,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,26,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,27,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,28,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
dni.ru,29,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 22 Jan 2020 21:53:39 GMT
Content-Type: text/html
Content-Length: 194
Connection: keep-alive
Location: https://dni.ru/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.10.3 (Ubuntu)</center>
</body>
</html>
"
