URL,TTL,Message
eve-kill.net,1,
eve-kill.net,2,
eve-kill.net,3,
eve-kill.net,4,
eve-kill.net,5,
eve-kill.net,6,
eve-kill.net,7,
eve-kill.net,8,
eve-kill.net,9,"HTTP/1.1 302 Found
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 11
date: Wed, 22 Jan 2020 22:24:46 GMT
location: http://survey-smiles.com
server: nginx
set-cookie: sid=ff575024-3d65-11ea-a247-71c07b400586; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:38:54 GMT; max-age=2147483647; HttpOnly

Redirecting"
eve-kill.net,10,"HTTP/1.1 200 OK
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 469
content-type: text/html; charset=utf-8
date: Wed, 22 Jan 2020 22:24:46 GMT
server: nginx
set-cookie: sid=ff64e4c8-3d65-11ea-b57e-71c0f8dafd61; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:38:54 GMT; max-age=2147483647; HttpOnly

<html><head><title>Loading...</title></head><body><script type='text/javascript'>window.location.replace('http://ojaloberoi.in/?js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTU3OTczOTA4NywiaWF0IjoxNTc5NzMxODg3LCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIybm01YmkxNThqY2NzN2Y1dDgxNmVsODMiLCJuYmYiOjE1Nzk3MzE4ODcsInRzIjoxNTc5NzMxODg3NDA3MjA5fQ.xBK0CE2Uugm2jEU22BG4-3eiTYbfUuMvQvq4W3Rd6eE&sid=ff64e4c8-3d65-11ea-b57e-71c0f8dafd61');</script></body></html>"
eve-kill.net,11,"HTTP/1.1 200 OK
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 469
content-type: text/html; charset=utf-8
date: Wed, 22 Jan 2020 22:24:46 GMT
server: nginx
set-cookie: sid=ff7190d8-3d65-11ea-bf9d-71c00c9a8bb5; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:38:54 GMT; max-age=2147483647; HttpOnly

<html><head><title>Loading...</title></head><body><script type='text/javascript'>window.location.replace('http://ojaloberoi.in/?js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTU3OTczOTA4NywiaWF0IjoxNTc5NzMxODg3LCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIybm01YmkxYTczbTI2Zjc5ZWsxNmVsYzMiLCJuYmYiOjE1Nzk3MzE4ODcsInRzIjoxNTc5NzMxODg3NDkwMzAwfQ.v4ZS2kuFFCDe2EpPpxWqJXTsQyfLbpp6ve28yZGDJh8&sid=ff7190d8-3d65-11ea-bf9d-71c00c9a8bb5');</script></body></html>"
eve-kill.net,12,"HTTP/1.1 200 OK
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 469
content-type: text/html; charset=utf-8
date: Wed, 22 Jan 2020 22:24:46 GMT
server: nginx
set-cookie: sid=ff7e4490-3d65-11ea-a038-71c09d5dbd0c; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:38:54 GMT; max-age=2147483647; HttpOnly

<html><head><title>Loading...</title></head><body><script type='text/javascript'>window.location.replace('http://ojaloberoi.in/?js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTU3OTczOTA4NywiaWF0IjoxNTc5NzMxODg3LCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIybm01YmkxZjVuM3E2a2szaG8xNmIyNDIiLCJuYmYiOjE1Nzk3MzE4ODcsInRzIjoxNTc5NzMxODg3NTczNDc1fQ.2lU4WU7feqESRaHqeyN1QVzlCdrinfbCpVUUe0vcZNE&sid=ff7e4490-3d65-11ea-a038-71c09d5dbd0c');</script></body></html>"
eve-kill.net,13,"HTTP/1.1 200 OK
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 469
content-type: text/html; charset=utf-8
date: Wed, 22 Jan 2020 22:24:46 GMT
server: nginx
set-cookie: sid=ff8afbcc-3d65-11ea-9874-71c0482ecb86; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:38:54 GMT; max-age=2147483647; HttpOnly

<html><head><title>Loading...</title></head><body><script type='text/javascript'>window.location.replace('http://ojaloberoi.in/?js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTU3OTczOTA4NywiaWF0IjoxNTc5NzMxODg3LCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIybm01YmkxazRvZzhkaHVvOWcxNjVqZzEiLCJuYmYiOjE1Nzk3MzE4ODcsInRzIjoxNTc5NzMxODg3NjU2ODYwfQ.JjbNQNRgEvbFk68fGlhd5KsISSt5LuGmTPDydM8Ess8&sid=ff8afbcc-3d65-11ea-9874-71c0482ecb86');</script></body></html>"
eve-kill.net,14,"HTTP/1.1 200 OK
cache-control: max-age=0, private, must-revalidate
connection: close
content-length: 469
content-type: text/html; charset=utf-8
date: Wed, 22 Jan 2020 22:24:53 GMT
server: nginx
set-cookie: sid=03d53652-3d66-11ea-b17f-71c099648426; path=/; domain=.ojaloberoi.in; expires=Tue, 10 Feb 2088 01:39:01 GMT; max-age=2147483647; HttpOnly

<html><head><title>Loading...</title></head><body><script type='text/javascript'>window.location.replace('http://ojaloberoi.in/?js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTU3OTczOTA5NCwiaWF0IjoxNTc5NzMxODk0LCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIybm01YmlmMTVicXE1M3VzZ28xNmJhYzIiLCJuYmYiOjE1Nzk3MzE4OTQsInRzIjoxNTc5NzMxODk0ODU0NTY3fQ.95mENut5-2evjEdm1f1jweT8NKFlzdOW8vfkgbH3i5c&sid=03d53652-3d66-11ea-b17f-71c099648426');</script></body></html>"
