URL,TTL,Message
exile.ru,1,timed out
exile.ru,2,timed out
exile.ru,3,timed out
exile.ru,4,timed out
exile.ru,5,timed out
exile.ru,6,timed out
exile.ru,7,timed out
exile.ru,8,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:47 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

"
exile.ru,9,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:47 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

<!DOCTYPE html>
<html lang=""en"" dir=""ltr"" class=""sid-plesk"">
<head>
    <title>Domain Default page</title>
    <meta name='copyright' content='Copyright 1999-2015. Parallels IP Holdings GmbH. All Rights Reserved.'>
    <meta charset=""utf-8"">
    <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0"">
    <meta http-equiv=""Cache-Control"" content=""no-cache"">
    <link rel=""shortcut icon"" href=""favicon.ico"">
    <link rel=""stylesheet"" href=""css/style.css"">
</head>
<body>

<div class=""page-container"">
    <!-- start: PAGE HEADER-->
    <div class=""page-header-wrapper"">
        <div class=""page-header"">
            <a class=""product-logo"" href=""http://www.plesk.com/"" target=""_blank""><img src=""img/logo.png"" alt=""Plesk""></a>
            <a class=""company-logo"" href=""http://www.odin.com/"" target=""_blank""><img src=""img/company-logo.png"" alt=""Odin""></a>
        </div>
    </div>
    <!-- end: PAGE HEADER-->

    <!-- start: PAGE CONTENT-->
    <div class=""page-content-wrapper"">
        <div class=""page-content"">

            <div class=""page-info-wrapper"">
                <div class=""page-info"">
                    <div class=""page-info-heading"">If you are seeing this message, the website for <script>document.write('<a href=""http://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) + '"">' + location.hostname + '</a>');</script> is not available at this time.</div>
                    <p>If you are the owner of this website, one of the following things may be occurring:</p>
                    <ul>
                        <li>You have not put any content on your website.</li>
                        <li>Your provider has suspended this page.</li>
                    </ul>
                    <p><b>Please login to <script>document.write('<a href=""https://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) + ':8443"">https://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) +':8443</a>');</script> to receive instructions on setting  up your website.</b></p>
                </div>
            </div>

            <div class=""product-info-wrapper"">
                <div class=""col"">
                    <div class=""product-info"">
                        <div class=""product-info-heading"">What is Plesk</div>
                        <div class=""product-info-content"">
                            <p><strong><a href=""http://www.plesk.com"" target=""_blank"">Plesk</a></strong> is a hosting control panel with simple and secure web server and website management tools. It was specially designed to help IT specialists manage web, DNS, mail and other services through a comprehensive and user-friendly GUI. <a class=""more"" href=""http://www.plesk.com"" target=""_blank"">Learn more about Plesk</a>.</p>
                            <ul class=""links"">
                                <li><a class=""blog"" href=""http://devblog.plesk.com/"" target=""_blank""><span>Developer Blog</span></a></li>
                                <li><a class=""forum"" href=""http://forum.odin.com/"" target=""_blank""><span>Forum</span></a></li>
                                <li><a class=""knowledge-base"" href=""http://kb.odin.com/"" target=""_blank""><span>Knowledge Base</span></a></li>
                                <li><a class=""facebook"" href=""https://www.facebook.com/PleskbyOdin"" target=""_blank""><span>Facebook</span></a></li>
                                <li><a class=""twitter"" href=""https://twitter.com/PleskbyOdin"" target=""_blank""><span>Twitter</span></a></li>
                                <li><a class=""google-plus"" href=""https://plus.google.com/communities/109881979300958500728"" target=""_blank""><span>Google+</span></a></li>
                 "
exile.ru,10,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:48 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

"
exile.ru,11,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:48 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

<!DOCTYPE html>
<html lang=""en"" dir=""ltr"" class=""sid-plesk"">
<head>
    <title>Domain Default page</title>
    <meta name='copyright' content='Copyright 1999-2015. Parallels IP Holdings GmbH. All Rights Reserved.'>
    <meta charset=""utf-8"">
    <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0"">
    <meta http-equiv=""Cache-Control"" content=""no-cache"">
    <link rel=""shortcut icon"" href=""favicon.ico"">
    <link rel=""stylesheet"" href=""css/style.css"">
</head>
<body>

<div class=""page-container"">
    <!-- start: PAGE HEADER-->
    <div class=""page-header-wrapper"">
        <div class=""page-header"">
            <a class=""product-logo"" href=""http://www.plesk.com/"" target=""_blank""><img src=""img/logo.png"" alt=""Plesk""></a>
            <a class=""company-logo"" href=""http://www.odin.com/"" target=""_blank""><img src=""img/company-logo.png"" alt=""Odin""></a>
        </div>
    </div>
    <!-- end: PAGE HEADER-->

    <!-- start: PAGE CONTENT-->
    <div class=""page-content-wrapper"">
        <div class=""page-content"">

            <div class=""page-info-wrapper"">
                <div class=""page-info"">
                    <div class=""page-info-heading"">If you are seeing this message, the website for <script>document.write('<a href=""http://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) + '"">' + location.hostname + '</a>');</script> is not available at this time.</div>
                    <p>If you are the owner of this website, one of the following things may be occurring:</p>
                    <ul>
                        <li>You have not put any content on your website.</li>
                        <li>Your provider has suspended this page.</li>
                    </ul>
                    <p><b>Please login to <script>document.write('<a href=""https://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) + ':8443"">https://' + (location.hostname.indexOf(':')>=0?'['+location.hostname+']':location.hostname) +':8443</a>');</script> to receive instructions on setting  up your website.</b></p>
                </div>
            </div>

            <div class=""product-info-wrapper"">
                <div class=""col"">
                    <div class=""product-info"">
                        <div class=""product-info-heading"">What is Plesk</div>
                        <div class=""product-info-content"">
                            <p><strong><a href=""http://www.plesk.com"" target=""_blank"">Plesk</a></strong> is a hosting control panel with simple and secure web server and website management tools. It was specially designed to help IT specialists manage web, DNS, mail and other services through a comprehensive and user-friendly GUI. <a class=""more"" href=""http://www.plesk.com"" target=""_blank"">Learn more about Plesk</a>.</p>
                            <ul class=""links"">
                                <li><a class=""blog"" href=""http://devblog.plesk.com/"" target=""_blank""><span>Developer Blog</span></a></li>
                                <li><a class=""forum"" href=""http://forum.odin.com/"" target=""_blank""><span>Forum</span></a></li>
                                <li><a class=""knowledge-base"" href=""http://kb.odin.com/"" target=""_blank""><span>Knowledge Base</span></a></li>
                                <li><a class=""facebook"" href=""https://www.facebook.com/PleskbyOdin"" target=""_blank""><span>Facebook</span></a></li>
                                <li><a class=""twitter"" href=""https://twitter.com/PleskbyOdin"" target=""_blank""><span>Twitter</span></a></li>
                                <li><a class=""google-plus"" href=""https://plus.google.com/communities/109881979300958500728"" target=""_blank""><span>Google+</span></a></li>
                 "
exile.ru,12,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:48 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

"
exile.ru,13,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:49 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

"
exile.ru,14,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 07:44:49 GMT
Content-Type: text/html
Content-Length: 5746
Last-Modified: Thu, 26 Nov 2015 05:32:55 GMT
Connection: keep-alive
ETag: ""56569987-1672""
X-Powered-By: PleskLin
Accept-Ranges: bytes

"
