URL,TTL,Message
filesearch.ru,1,timed out
filesearch.ru,2,timed out
filesearch.ru,3,timed out
filesearch.ru,4,timed out
filesearch.ru,5,timed out
filesearch.ru,6,timed out
filesearch.ru,7,"HTTP/1.1 302 Found
Server: nginx/1.0.4
Date: Thu, 23 Jan 2020 08:28:45 GMT
Content-Type: text/html; charset=iso-8859-1
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.filesearch.ru/

cd
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>302 Found</TITLE>
</HEAD><BODY>
<H1>Found</H1>
The document has moved <A HREF=""http://www.filesearch.ru/"">here</A>.<P>
</BODY></HTML>

0

"
filesearch.ru,8,"HTTP/1.1 302 Found
Server: nginx/1.0.4
Date: Thu, 23 Jan 2020 08:28:45 GMT
Content-Type: text/html; charset=iso-8859-1
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.filesearch.ru/

cd
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>302 Found</TITLE>
</HEAD><BODY>
<H1>Found</H1>
The document has moved <A HREF=""http://www.filesearch.ru/"">here</A>.<P>
</BODY></HTML>

0

"
filesearch.ru,9,"HTTP/1.1 302 Found
Server: nginx/1.0.4
Date: Thu, 23 Jan 2020 08:28:45 GMT
Content-Type: text/html; charset=iso-8859-1
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.filesearch.ru/

cd
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>302 Found</TITLE>
</HEAD><BODY>
<H1>Found</H1>
The document has moved <A HREF=""http://www.filesearch.ru/"">here</A>.<P>
</BODY></HTML>

0

"
filesearch.ru,10,"HTTP/1.1 302 Found
Server: nginx/1.0.4
Date: Thu, 23 Jan 2020 08:28:45 GMT
Content-Type: text/html; charset=iso-8859-1
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.filesearch.ru/

cd
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<HTML><HEAD>
<TITLE>302 Found</TITLE>
</HEAD><BODY>
<H1>Found</H1>
The document has moved <A HREF=""http://www.filesearch.ru/"">here</A>.<P>
</BODY></HTML>

0

"
