URL,TTL,Message
gazeta.ua,1,timed out
gazeta.ua,2,timed out
gazeta.ua,3,timed out
gazeta.ua,4,timed out
gazeta.ua,5,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d847bc8f905b928151c40445f2ce9165e1579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 559529776eb98b86-KBP

10
error code: 1001
0

"
gazeta.ua,6,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7b84e06c518862b88ed0b5910e5fa1541579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 5595297778638acc-KBP

10
error code: 1001
0

"
gazeta.ua,7,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=da3c121b82c923c8c7fc58b550b3bd56e1579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 559529777c528ad2-KBP

10
error code: 1001
0

"
gazeta.ua,8,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d210078cc44ee8aadd2669437f73d1a161579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 55952977999c8247-KBP

10
error code: 1001
"
gazeta.ua,9,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=da2ed4d8bac321abcd7ef64fe31f9bd681579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 559529779c8d8afc-KBP

10
error code: 1001
0

"
gazeta.ua,10,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d610ae340d89998a3234cf68d0e74f3dd1579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 55952977ab2c8211-KBP

10
error code: 1001
"
gazeta.ua,11,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d3a98bbefef771f821126903d7198bc681579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 55952977ab3183e6-KBP

10
error code: 1001
0

"
gazeta.ua,12,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 23:03:34 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d0594f3a63123bb7863f3f8020e10daef1579734214; expires=Fri, 21-Feb-20 23:03:34 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 23:03:40 GMT
Server: cloudflare
CF-RAY: 55952977b8558b98-KBP

10
error code: 1001
0

"
