URL,TTL,Message
goldfishka.com,1,timed out
goldfishka.com,2,timed out
goldfishka.com,3,timed out
goldfishka.com,4,timed out
goldfishka.com,5,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d40bc9200bd44e118dab277cf33683f391579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858daffa3ad18-OTP

10
error code: 1001
"
goldfishka.com,6,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d96991a628084b249a4caa0d266a971d21579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858db38f3acfa-OTP

10
error code: 1001
0

"
goldfishka.com,7,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d5a9537c5920dfbcaeaa1b53f3c92b3f51579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858db8b1bfd0d-OTP

10
error code: 1001
0

"
goldfishka.com,8,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d84c6155aada7b3d836e849bc350a67361579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858dbca96acca-OTP

10
error code: 1001
0

"
goldfishka.com,9,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d40bc9200bd44e118dab277cf33683f391579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858dc08ebad18-OTP

10
error code: 1001
0

"
goldfishka.com,10,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 08:20:12 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dfd1c8f6a2deef1b6282fe0191889728c1579767612; expires=Sat, 22-Feb-20 08:20:12 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 08:20:18 GMT
Server: cloudflare
CF-RAY: 559858dc4a42acd0-OTP

10
error code: 1001
0

"
