URL,TTL,Message
hi.dn.ua,1,timed out
hi.dn.ua,2,timed out
hi.dn.ua,3,timed out
hi.dn.ua,4,timed out
hi.dn.ua,5,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
hi.dn.ua,6,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
hi.dn.ua,7,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
hi.dn.ua,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
hi.dn.ua,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
hi.dn.ua,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Wed, 22 Jan 2020 23:46:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://hi.dn.ua/
X-Frame-Options: SAMEORIGIN

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
