URL,TTL,Message
i-mult.tlum.ru,1,timed out
i-mult.tlum.ru,2,timed out
i-mult.tlum.ru,3,timed out
i-mult.tlum.ru,4,timed out
i-mult.tlum.ru,5,timed out
i-mult.tlum.ru,6,timed out
i-mult.tlum.ru,7,timed out
i-mult.tlum.ru,8,timed out
i-mult.tlum.ru,9,timed out
i-mult.tlum.ru,10,timed out
i-mult.tlum.ru,11,timed out
i-mult.tlum.ru,12,timed out
i-mult.tlum.ru,13,timed out
i-mult.tlum.ru,14,timed out
i-mult.tlum.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:26 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:26 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:26 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,18,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,19,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,20,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,21,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,22,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,23,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,24,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,25,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,26,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,27,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
i-mult.tlum.ru,28,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.16.0
Date: Wed, 22 Jan 2020 23:52:27 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: http://i-mult.tlum.ru/games/patrol?utm_source=from_redirect&utm_campaign=patrol

<html>
<head><title>301 Moved Permanently</title></head>
<body>
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.16.0</center>
</body>
</html>
"
