URL,TTL,Message
kazache.ru,1,timed out
kazache.ru,2,timed out
kazache.ru,3,timed out
kazache.ru,4,timed out
kazache.ru,5,timed out
kazache.ru,6,timed out
kazache.ru,7,timed out
kazache.ru,8,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,9,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,10,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,11,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,12,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,13,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,14,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,15,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,16,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,17,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,18,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,19,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
kazache.ru,20,"HTTP/1.1 200 OK
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 00:19:47 GMT
Content-Type: text/html
Content-Length: 163
Connection: keep-alive
Last-Modified: Wed, 30 Jan 2019 02:06:03 GMT
ETag: ""2185766-a3-580a35a1678c0""
Accept-Ranges: bytes

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
