URL,TTL,Message
kinopoisk.ru,1,timed out
kinopoisk.ru,2,timed out
kinopoisk.ru,3,timed out
kinopoisk.ru,4,timed out
kinopoisk.ru,5,timed out
kinopoisk.ru,6,timed out
kinopoisk.ru,7,timed out
kinopoisk.ru,8,timed out
kinopoisk.ru,9,timed out
kinopoisk.ru,10,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,11,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,12,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,13,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,14,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,15,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,16,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,17,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,18,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,19,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,20,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,21,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,22,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,23,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,24,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,25,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,26,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,27,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,28,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
kinopoisk.ru,29,"HTTP/1.1 406 Not acceptable
Strict-Transport-Security: max-age=31536000
Content-Length: 0

"
