URL,TTL,Message
lenta.ru,1,timed out
lenta.ru,2,timed out
lenta.ru,3,timed out
lenta.ru,4,timed out
lenta.ru,5,timed out
lenta.ru,6,timed out
lenta.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
lenta.ru,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.4
Date: Thu, 23 Jan 2020 09:27:52 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://lenta.ru/
Set-Cookie: is_mobile=0; path=/; domain=.lenta.ru

b9
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.4</center>
</body>
</html>

0

"
