URL,TTL,Message
liveinternet.ru,1,timed out
liveinternet.ru,2,timed out
liveinternet.ru,3,timed out
liveinternet.ru,4,timed out
liveinternet.ru,5,timed out
liveinternet.ru,6,timed out
liveinternet.ru,7,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.11.1
Date: Thu, 23 Jan 2020 00:39:12 GMT
Content-Type: text/html; charset=cp1251
Content-Length: 0
Connection: keep-alive
Location: http://www.liveinternet.ru/top/
P3P: policyref=""/w3c/p3p.xml"", CP=""UNI""
Set-Cookie: an_uid=29598474866686; path=900
p3p: policyref=""/w3c/p3p.xml"", CP=""UNI""

"
liveinternet.ru,8,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.11.1
Date: Thu, 23 Jan 2020 00:39:12 GMT
Content-Type: text/html; charset=cp1251
Content-Length: 0
Connection: keep-alive
Location: http://www.liveinternet.ru/top/
P3P: policyref=""/w3c/p3p.xml"", CP=""UNI""
Set-Cookie: an_uid=29598474865218; path=900
p3p: policyref=""/w3c/p3p.xml"", CP=""UNI""

"
liveinternet.ru,9,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.11.1
Date: Thu, 23 Jan 2020 00:39:12 GMT
Content-Type: text/html; charset=cp1251
Content-Length: 0
Connection: keep-alive
Location: http://www.liveinternet.ru/top/
P3P: policyref=""/w3c/p3p.xml"", CP=""UNI""
Set-Cookie: an_uid=295984748656; path=900
p3p: policyref=""/w3c/p3p.xml"", CP=""UNI""

"
liveinternet.ru,10,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.11.1
Date: Thu, 23 Jan 2020 00:39:12 GMT
Content-Type: text/html; charset=cp1251
Content-Length: 0
Connection: keep-alive
Location: http://www.liveinternet.ru/top/
P3P: policyref=""/w3c/p3p.xml"", CP=""UNI""
Set-Cookie: an_uid=29598474861396; path=900
p3p: policyref=""/w3c/p3p.xml"", CP=""UNI""

"
