URL,TTL,Message
mail.rambler.ru,1,timed out
mail.rambler.ru,2,timed out
mail.rambler.ru,3,timed out
mail.rambler.ru,4,timed out
mail.rambler.ru,5,timed out
mail.rambler.ru,6,timed out
mail.rambler.ru,7,timed out
mail.rambler.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.6 (Ubuntu)
Date: Thu, 23 Jan 2020 01:03:03 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://mail.rambler.ru/
Set-Cookie: ruid=RgAAAMfwKF5aBh+ZAXr3uQB=; expires=Thu, 31-Dec-37 23:55:55 GMT; domain=.rambler.ru; path=/; Secure; SameSite=None
P3P: CP=""NON DSP NID ADMa DEVa TAIa PSAa PSDa OUR IND UNI COM NAV""

c2
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.6 (Ubuntu)</center>
</body>
</html>

0

"
mail.rambler.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.6 (Ubuntu)
Date: Thu, 23 Jan 2020 01:03:03 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://mail.rambler.ru/
Set-Cookie: ruid=RgAAAMfwKF4CQnhBAYysWQB=; expires=Thu, 31-Dec-37 23:55:55 GMT; domain=.rambler.ru; path=/; Secure; SameSite=None
P3P: CP=""NON DSP NID ADMa DEVa TAIa PSAa PSDa OUR IND UNI COM NAV""

c2
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.6 (Ubuntu)</center>
</body>
</html>

0

"
mail.rambler.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.6 (Ubuntu)
Date: Thu, 23 Jan 2020 01:03:03 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://mail.rambler.ru/
Set-Cookie: ruid=RgAAAMfwKF4iQMGTAYTvewB=; expires=Thu, 31-Dec-37 23:55:55 GMT; domain=.rambler.ru; path=/; Secure; SameSite=None
P3P: CP=""NON DSP NID ADMa DEVa TAIa PSAa PSDa OUR IND UNI COM NAV""

c2
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.6 (Ubuntu)</center>
</body>
</html>

0

"
mail.rambler.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.6 (Ubuntu)
Date: Thu, 23 Jan 2020 01:03:03 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://mail.rambler.ru/
Set-Cookie: ruid=RgAAAMfwKF4kQBqXAQbptAB=; expires=Thu, 31-Dec-37 23:55:55 GMT; domain=.rambler.ru; path=/; Secure; SameSite=None
P3P: CP=""NON DSP NID ADMa DEVa TAIa PSAa PSDa OUR IND UNI COM NAV""

c2
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.6 (Ubuntu)</center>
</body>
</html>

0

"
mail.rambler.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.13.6 (Ubuntu)
Date: Thu, 23 Jan 2020 01:03:03 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: https://mail.rambler.ru/
Set-Cookie: ruid=RgAAAMfwKF7/QaQ9AZ1KIgB=; expires=Thu, 31-Dec-37 23:55:55 GMT; domain=.rambler.ru; path=/; Secure; SameSite=None
P3P: CP=""NON DSP NID ADMa DEVa TAIa PSAa PSDa OUR IND UNI COM NAV""

c2
<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.13.6 (Ubuntu)</center>
</body>
</html>

0

"
