URL,TTL,Message
mvdlnr.ru,1,timed out
mvdlnr.ru,2,timed out
mvdlnr.ru,3,timed out
mvdlnr.ru,4,timed out
mvdlnr.ru,5,timed out
mvdlnr.ru,6,timed out
mvdlnr.ru,7,timed out
mvdlnr.ru,8,timed out
mvdlnr.ru,9,timed out
mvdlnr.ru,10,"HTTP/1.1 302 Found
Date: Thu, 23 Jan 2020 01:50:45 GMT
Server: Apache/2.4.25 (Debian)
Location: https://ojaloberoi.in/
Content-Length: 285
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.4.25 (Debian) Server at ojaloberoi.in Port 80</address>
</body></html>
"
mvdlnr.ru,11,"HTTP/1.1 302 Found
Date: Thu, 23 Jan 2020 01:50:45 GMT
Server: Apache/2.4.25 (Debian)
Location: https://ojaloberoi.in/
Content-Length: 285
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.4.25 (Debian) Server at ojaloberoi.in Port 80</address>
</body></html>
"
