URL,TTL,Message
netman.ru,1,timed out
netman.ru,2,timed out
netman.ru,3,timed out
netman.ru,4,timed out
netman.ru,5,timed out
netman.ru,6,timed out
netman.ru,7,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,8,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,9,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,10,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,11,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,12,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,13,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,14,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,15,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
netman.ru,16,"HTTP/1.1 302 Found
Server: nginx/1.1.19
Date: Thu, 23 Jan 2020 10:30:30 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 285
Connection: keep-alive
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>302 Found</title>
</head><body>
<h1>Found</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
<hr>
<address>Apache/2.2.22 (Ubuntu) Server at ojaloberoi.in Port 80</address>
</body></html>
"
