URL,TTL,Message
novosti-tchasa.com,1,timed out
novosti-tchasa.com,2,timed out
novosti-tchasa.com,3,timed out
novosti-tchasa.com,4,timed out
novosti-tchasa.com,5,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:34 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,6,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:34 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,7,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
novosti-tchasa.com,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.14.1
Date: Thu, 23 Jan 2020 02:37:35 GMT
Content-Type: text/html
Content-Length: 185
Connection: keep-alive
Location: https://pink.timeweb.ru/parking/?ref=ojaloberoi.in
Cache-Control: no-store, no-cache, must-revalidate, proxy-revalidate, max-age=0

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
