URL,TTL,Message
rbc.ru,1,timed out
rbc.ru,2,timed out
rbc.ru,3,timed out
rbc.ru,4,timed out
rbc.ru,5,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:19 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,6,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:19 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,7,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:19 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,8,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:19 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,9,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,10,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,11,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,12,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,13,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,14,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,15,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,16,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,17,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,18,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,19,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,20,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
rbc.ru,21,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 11:39:20 GMT
Content-Type: text/html
Content-Length: 138
Connection: keep-alive
Location: https://www.rbc.ru/

<html>
<head><title>302 Found</title></head>
<body>
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
