URL,TTL,Message
ruscrimea.ru,1,timed out
ruscrimea.ru,2,timed out
ruscrimea.ru,3,timed out
ruscrimea.ru,4,timed out
ruscrimea.ru,5,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,6,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,7,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,8,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,9,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,10,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:30 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,11,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:31 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,12,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:31 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
ruscrimea.ru,13,"HTTP/1.1 403 Forbidden
Server: nginx/1.16.1
Date: Thu, 23 Jan 2020 12:00:31 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

22b
<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.16.1</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
