URL,TTL,Message
ustav.press,1,timed out
ustav.press,2,timed out
ustav.press,3,timed out
ustav.press,4,timed out
ustav.press,5,timed out
ustav.press,6,timed out
ustav.press,7,timed out
ustav.press,8,timed out
ustav.press,9,timed out
ustav.press,10,timed out
ustav.press,11,timed out
ustav.press,12,timed out
ustav.press,13,timed out
ustav.press,14,timed out
ustav.press,15,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:08 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,16,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:08 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,17,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:09 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,18,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:09 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,19,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:09 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,20,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:10 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,21,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:10 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,22,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:10 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,23,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:11 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
ustav.press,24,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 14:34:11 GMT
Server: Apache
Last-Modified: Tue, 07 Aug 2018 09:11:39 GMT
Accept-Ranges: bytes
Content-Length: 163
Vary: Accept-Encoding
Content-Type: text/html

<html><head><META HTTP-EQUIV=""Cache-control"" CONTENT=""no-cache""><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
