URL,TTL,Message
webmoney.ru,1,timed out
webmoney.ru,2,timed out
webmoney.ru,3,timed out
webmoney.ru,4,timed out
webmoney.ru,5,timed out
webmoney.ru,6,timed out
webmoney.ru,7,timed out
webmoney.ru,8,timed out
webmoney.ru,9,timed out
webmoney.ru,10,timed out
webmoney.ru,11,timed out
webmoney.ru,12,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,13,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,14,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,15,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,16,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,17,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
webmoney.ru,18,"HTTP/1.1 302 Moved Temporarily
Server: nginx
Date: Thu, 23 Jan 2020 13:34:47 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://www.webmoney.ru/

9a
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>

0

"
