URL,TTL,Message
zaprava.ru,1,timed out
zaprava.ru,2,timed out
zaprava.ru,3,timed out
zaprava.ru,4,timed out
zaprava.ru,5,timed out
zaprava.ru,6,timed out
zaprava.ru,7,timed out
zaprava.ru,8,timed out
zaprava.ru,9,timed out
zaprava.ru,10,timed out
zaprava.ru,11,timed out
zaprava.ru,12,timed out
zaprava.ru,13,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 13:54:26 GMT
Server: Apache
Upgrade: h2
Connection: Upgrade, Keep-Alive
Last-Modified: Tue, 02 Jul 2019 17:07:40 GMT
ETag: ""39e-58cb5c83d8f00""
Accept-Ranges: bytes
Content-Length: 926
Keep-Alive: timeout=2, max=100
Content-Type: text/html

<!doctype html>
<html>
<head>
        <title>Site not found &middot; DreamHost</title>
        <meta http-equiv=""cache-control"" content=""no-cache"" />
        <meta name=""description"" content=""The owner of this domain has not yet uploaded their website."" />
        <link rel=""stylesheet"" href=""//d1a6zytsvzb7ig.cloudfront.net/newpanel/css/singlepage.css"" />
</head>
<body>
        <div class=""page page-missing"">
                <h1>Site Not Found</h1>

                <p>Well, this is awkward. The site you're looking for is not here.</p>
                <p><small>Is this your site? <a href=""https://help.dreamhost.com/hc/en-us/articles/215613517"" rel=""nofollow"">Get more info</a> or <a href=""https://panel.dreamhost.com/index.cgi?tree=support.msg"" rel=""nofollow"">contact support</a>.</small></p>

                <a href=""http://www.dreamhost.com/"" class=""logo"" rel=""nofollow"">DreamHost</a>
        </div>
</body>
</html>
"
zaprava.ru,14,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 13:54:26 GMT
Server: Apache
Upgrade: h2
Connection: Upgrade, Keep-Alive
Last-Modified: Tue, 02 Jul 2019 17:07:40 GMT
ETag: ""39e-58cb5c83d8f00""
Accept-Ranges: bytes
Content-Length: 926
Keep-Alive: timeout=2, max=100
Content-Type: text/html

<!doctype html>
<html>
<head>
        <title>Site not found &middot; DreamHost</title>
        <meta http-equiv=""cache-control"" content=""no-cache"" />
        <meta name=""description"" content=""The owner of this domain has not yet uploaded their website."" />
        <link rel=""stylesheet"" href=""//d1a6zytsvzb7ig.cloudfront.net/newpanel/css/singlepage.css"" />
</head>
<body>
        <div class=""page page-missing"">
                <h1>Site Not Found</h1>

                <p>Well, this is awkward. The site you're looking for is not here.</p>
                <p><small>Is this your site? <a href=""https://help.dreamhost.com/hc/en-us/articles/215613517"" rel=""nofollow"">Get more info</a> or <a href=""https://panel.dreamhost.com/index.cgi?tree=support.msg"" rel=""nofollow"">contact support</a>.</small></p>

                <a href=""http://www.dreamhost.com/"" class=""logo"" rel=""nofollow"">DreamHost</a>
        </div>
</body>
</html>
"
zaprava.ru,15,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 13:54:27 GMT
Server: Apache
Upgrade: h2
Connection: Upgrade, Keep-Alive
Last-Modified: Tue, 02 Jul 2019 17:07:40 GMT
ETag: ""39e-58cb5c83d8f00""
Accept-Ranges: bytes
Content-Length: 926
Keep-Alive: timeout=2, max=100
Content-Type: text/html

<!doctype html>
<html>
<head>
        <title>Site not found &middot; DreamHost</title>
        <meta http-equiv=""cache-control"" content=""no-cache"" />
        <meta name=""description"" content=""The owner of this domain has not yet uploaded their website."" />
        <link rel=""stylesheet"" href=""//d1a6zytsvzb7ig.cloudfront.net/newpanel/css/singlepage.css"" />
</head>
<body>
        <div class=""page page-missing"">
                <h1>Site Not Found</h1>

                <p>Well, this is awkward. The site you're looking for is not here.</p>
                <p><small>Is this your site? <a href=""https://help.dreamhost.com/hc/en-us/articles/215613517"" rel=""nofollow"">Get more info</a> or <a href=""https://panel.dreamhost.com/index.cgi?tree=support.msg"" rel=""nofollow"">contact support</a>.</small></p>

                <a href=""http://www.dreamhost.com/"" class=""logo"" rel=""nofollow"">DreamHost</a>
        </div>
</body>
</html>
"
zaprava.ru,16,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 13:54:27 GMT
Server: Apache
Upgrade: h2
Connection: Upgrade, Keep-Alive
Last-Modified: Tue, 02 Jul 2019 17:07:40 GMT
ETag: ""39e-58cb5c83d8f00""
Accept-Ranges: bytes
Content-Length: 926
Keep-Alive: timeout=2, max=100
Content-Type: text/html

<!doctype html>
<html>
<head>
        <title>Site not found &middot; DreamHost</title>
        <meta http-equiv=""cache-control"" content=""no-cache"" />
        <meta name=""description"" content=""The owner of this domain has not yet uploaded their website."" />
        <link rel=""stylesheet"" href=""//d1a6zytsvzb7ig.cloudfront.net/newpanel/css/singlepage.css"" />
</head>
<body>
        <div class=""page page-missing"">
                <h1>Site Not Found</h1>

                <p>Well, this is awkward. The site you're looking for is not here.</p>
                <p><small>Is this your site? <a href=""https://help.dreamhost.com/hc/en-us/articles/215613517"" rel=""nofollow"">Get more info</a> or <a href=""https://panel.dreamhost.com/index.cgi?tree=support.msg"" rel=""nofollow"">contact support</a>.</small></p>

                <a href=""http://www.dreamhost.com/"" class=""logo"" rel=""nofollow"">DreamHost</a>
        </div>
</body>
</html>
"
zaprava.ru,17,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 13:54:27 GMT
Server: Apache
Upgrade: h2
Connection: Upgrade, Keep-Alive
Last-Modified: Tue, 02 Jul 2019 17:07:40 GMT
ETag: ""39e-58cb5c83d8f00""
Accept-Ranges: bytes
Content-Length: 926
Keep-Alive: timeout=2, max=100
Content-Type: text/html

<!doctype html>
<html>
<head>
        <title>Site not found &middot; DreamHost</title>
        <meta http-equiv=""cache-control"" content=""no-cache"" />
        <meta name=""description"" content=""The owner of this domain has not yet uploaded their website."" />
        <link rel=""stylesheet"" href=""//d1a6zytsvzb7ig.cloudfront.net/newpanel/css/singlepage.css"" />
</head>
<body>
        <div class=""page page-missing"">
                <h1>Site Not Found</h1>

                <p>Well, this is awkward. The site you're looking for is not here.</p>
                <p><small>Is this your site? <a href=""https://help.dreamhost.com/hc/en-us/articles/215613517"" rel=""nofollow"">Get more info</a> or <a href=""https://panel.dreamhost.com/index.cgi?tree=support.msg"" rel=""nofollow"">contact support</a>.</small></p>

                <a href=""http://www.dreamhost.com/"" class=""logo"" rel=""nofollow"">DreamHost</a>
        </div>
</body>
</html>
"
