URL,TTL,Message
blackseatv.com,1,timed out
blackseatv.com,2,timed out
blackseatv.com,3,timed out
blackseatv.com,4,timed out
blackseatv.com,5,timed out
blackseatv.com,6,timed out
blackseatv.com,7,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 00:26:13 GMT
Server: Apache/2.4.29 (Ubuntu)
X-Frame-Options: DENY
X-Content-Type-Options: nosniff
Set-Cookie: pll_language=ru; expires=Fri, 22-Jan-2021 00:26:13 GMT; Max-Age=31536000; path=/
Link: <http://blackseatv.com/wp-json/>; rel=""https://api.w.org/""
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

20a0
<!DOCTYPE html>
<html lang=""ru-RU"">
<head>
	<meta charset=""UTF-8"" />	
    
<!-- All in One SEO Pack 3.3.4 by Michael Torbert of Semper Fi Web Design[,] -->
<link rel=""next"" href=""http://blackseatv.com/page/2/"" />

<link rel=""canonical"" href=""http://blackseatv.com/"" />
			<script type=""text/javascript"" >
				window.ga=window.ga||function(){(ga.q=ga.q||[]).push(arguments)};ga.l=+new Date;
				ga('create', 'UA-72642145-1', 'auto');
				// Plugins
				
				ga('send', 'pageview');
			</script>
			<script async src=""https://www.google-analytics.com/analytics.js""></script>
			<!-- All in One SEO Pack -->
<link rel=""dns-prefetch"" href=""//connect.facebook.net"" />
<link rel='dns-prefetch' href='//blackseatv.com' />
<link rel='dns-prefetch' href='//connect.facebook.net' />
<link rel='dns-prefetch' href='//s.w.org' />
		<script type=""text/javascript"">
			window._wpemojiSettings = {""baseUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/72x72\/"",""ext"":"".png"",""svgUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/svg\/"",""svgExt"":"".svg"",""source"":{""concatemoji"":""http:\/\/blackseatv.com\/wp-includes\/js\/wp-emoji-release.min.js?ver=7313281f96548dbadfbe96ca37c7b66b""}};
			!function(a,b,c){function d(a,b){var c=String.fromCharCode;l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,a),0,0);var d=k.toDataURL();l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,b),0,0);var e=k.toDataURL();return d===e}function e(a){var b;if(!l||!l.fillText)return!1;switch(l.textBaseline=""top"",l.font=""600 32px Arial"",a){case""flag"":return!(b=d([55356,56826,55356,56819],[55356,56826,8203,55356,56819]))&&(b=d([55356,57332,56128,56423,56128,56418,56128,56421,56128,56430,56128,56423,56128,56447],[55356,57332,8203,56128,56423,8203,56128,56418,8203,56128,56421,8203,56128,56430,8203,56128,56423,8203,56128,56447]),!b);case""emoji"":return b=d([55357,56424,55356,57342,8205,55358,56605,8205,55357,56424,55356,57340],[55357,56424,55356,57342,8203,55358,56605,8203,55357,56424,55356,57340]),!b}return!1}function f(a){var c=b.createElement(""script"");c.src=a,c.defer=c.type=""text/javascript"",b.getElementsByTagName(""head"")[0].appendChild(c)}var g,h,i,j,k=b.createElement(""canvas""),l=k.getContext&&k.getContext(""2d"");for(j=Array(""flag"",""emoji""),c.supports={everything:!0,everythingExceptFlag:!0},i=0;i<j.length;i++)c.supports[j[i]]=e(j[i]),c.supports.everything=c.supports.everything&&c.supports[j[i]],""flag""!==j[i]&&(c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&c.supports[j[i]]);c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&!c.supports.flag,c.DOMReady=!1,c.readyCallback=function(){c.DOMReady=!0},c.supports.everything||(h=function(){c.readyCallback()},b.addEventListener?(b.addEventListener(""DOMContentLoaded"",h,!1),a.addEventListener(""load"",h,!1)):(a.attachEvent(""onload"",h),b.attachEvent(""onreadystatechange"",function(){""complete""===b.readyState&&c.readyCallback()})),g=c.source||{},g.concatemoji?f(g.concatemoji):g.wpemoji&&g.twemoji&&(f(g.twemoji),f(g.wpemoji)))}(window,document,window._wpemojiSettings);
		</script>
		<style type=""text/css"">
img.wp-smiley,
img.emoji {
	display: inline !important;
	border: none !important;
	box-shadow: none !important;
	height: 1em !important;
	width: 1em !important;
	margin: 0 .07em !important;
	vertical-align: -0.1em !important;
	background: none !important;
	padding: 0 !important;
}
</style>
	<link rel='stylesheet' id='wp-block-library-css'  href='http://blackseatv.com/wp-includes/css/dist/block-library/style.min.css?ver=7313281f96548dbadfbe96ca37c7b66b' type='text/css' media='all' />
<link rel='stylesheet' id='magnific-popup-au-css'  href='http"
blackseatv.com,8,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 00:26:13 GMT
Server: Apache/2.4.29 (Ubuntu)
X-Frame-Options: DENY
X-Content-Type-Options: nosniff
Set-Cookie: pll_language=ru; expires=Fri, 22-Jan-2021 00:26:13 GMT; Max-Age=31536000; path=/
Link: <http://blackseatv.com/wp-json/>; rel=""https://api.w.org/""
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

20a0
<!DOCTYPE html>
<html lang=""ru-RU"">
<head>
	<meta charset=""UTF-8"" />	
    
<!-- All in One SEO Pack 3.3.4 by Michael Torbert of Semper Fi Web Design[,] -->
<link rel=""next"" href=""http://blackseatv.com/page/2/"" />

<link rel=""canonical"" href=""http://blackseatv.com/"" />
			<script type=""text/javascript"" >
				window.ga=window.ga||function(){(ga.q=ga.q||[]).push(arguments)};ga.l=+new Date;
				ga('create', 'UA-72642145-1', 'auto');
				// Plugins
				
				ga('send', 'pageview');
			</script>
			<script async src=""https://www.google-analytics.com/analytics.js""></script>
			<!-- All in One SEO Pack -->
<link rel=""dns-prefetch"" href=""//connect.facebook.net"" />
<link rel='dns-prefetch' href='//blackseatv.com' />
<link rel='dns-prefetch' href='//connect.facebook.net' />
<link rel='dns-prefetch' href='//s.w.org' />
		<script type=""text/javascript"">
			window._wpemojiSettings = {""baseUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/72x72\/"",""ext"":"".png"",""svgUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/svg\/"",""svgExt"":"".svg"",""source"":{""concatemoji"":""http:\/\/blackseatv.com\/wp-includes\/js\/wp-emoji-release.min.js?ver=7313281f96548dbadfbe96ca37c7b66b""}};
			!function(a,b,c){function d(a,b){var c=String.fromCharCode;l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,a),0,0);var d=k.toDataURL();l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,b),0,0);var e=k.toDataURL();return d===e}function e(a){var b;if(!l||!l.fillText)return!1;switch(l.textBaseline=""top"",l.font=""600 32px Arial"",a){case""flag"":return!(b=d([55356,56826,55356,56819],[55356,56826,8203,55356,56819]))&&(b=d([55356,57332,56128,56423,56128,56418,56128,56421,56128,56430,56128,56423,56128,56447],[55356,57332,8203,56128,56423,8203,56128,56418,8203,56128,56421,8203,56128,56430,8203,56128,56423,8203,56128,56447]),!b);case""emoji"":return b=d([55357,56424,55356,57342,8205,55358,56605,8205,55357,56424,55356,57340],[55357,56424,55356,57342,8203,55358,56605,8203,55357,56424,55356,57340]),!b}return!1}function f(a){var c=b.createElement(""script"");c.src=a,c.defer=c.type=""text/javascript"",b.getElementsByTagName(""head"")[0].appendChild(c)}var g,h,i,j,k=b.createElement(""canvas""),l=k.getContext&&k.getContext(""2d"");for(j=Array(""flag"",""emoji""),c.supports={everything:!0,everythingExceptFlag:!0},i=0;i<j.length;i++)c.supports[j[i]]=e(j[i]),c.supports.everything=c.supports.everything&&c.supports[j[i]],""flag""!==j[i]&&(c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&c.supports[j[i]]);c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&!c.supports.flag,c.DOMReady=!1,c.readyCallback=function(){c.DOMReady=!0},c.supports.everything||(h=function(){c.readyCallback()},b.addEventListener?(b.addEventListener(""DOMContentLoaded"",h,!1),a.addEventListener(""load"",h,!1)):(a.attachEvent(""onload"",h),b.attachEvent(""onreadystatechange"",function(){""complete""===b.readyState&&c.readyCallback()})),g=c.source||{},g.concatemoji?f(g.concatemoji):g.wpemoji&&g.twemoji&&(f(g.twemoji),f(g.wpemoji)))}(window,document,window._wpemojiSettings);
		</script>
		<style type=""text/css"">
img.wp-smiley,
img.emoji {
	display: inline !important;
	border: none !important;
	box-shadow: none !important;
	height: 1em !important;
	width: 1em !important;
	margin: 0 .07em !important;
	vertical-align: -0.1em !important;
	background: none !important;
	padding: 0 !important;
}
</style>
	<link rel='stylesheet' id='wp-block-library-css'  href='http://blackseatv.com/wp-includes/css/dist/block-library/style.min.css?ver=7313281f96548dbadfbe96ca37c7b66b' type='text/css' media='all' />
<link rel='stylesheet' id='magnific-popup-au-css'  href='http"
blackseatv.com,9,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 00:26:13 GMT
Server: Apache/2.4.29 (Ubuntu)
X-Frame-Options: DENY
X-Content-Type-Options: nosniff
Set-Cookie: pll_language=ru; expires=Fri, 22-Jan-2021 00:26:13 GMT; Max-Age=31536000; path=/
Link: <http://blackseatv.com/wp-json/>; rel=""https://api.w.org/""
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

20a0
<!DOCTYPE html>
<html lang=""ru-RU"">
<head>
	<meta charset=""UTF-8"" />	
    
<!-- All in One SEO Pack 3.3.4 by Michael Torbert of Semper Fi Web Design[,] -->
<link rel=""next"" href=""http://blackseatv.com/page/2/"" />

<link rel=""canonical"" href=""http://blackseatv.com/"" />
			<script type=""text/javascript"" >
				window.ga=window.ga||function(){(ga.q=ga.q||[]).push(arguments)};ga.l=+new Date;
				ga('create', 'UA-72642145-1', 'auto');
				// Plugins
				
				ga('send', 'pageview');
			</script>
			<script async src=""https://www.google-analytics.com/analytics.js""></script>
			<!-- All in One SEO Pack -->
<link rel=""dns-prefetch"" href=""//connect.facebook.net"" />
<link rel='dns-prefetch' href='//blackseatv.com' />
<link rel='dns-prefetch' href='//connect.facebook.net' />
<link rel='dns-prefetch' href='//s.w.org' />
		<script type=""text/javascript"">
			window._wpemojiSettings = {""baseUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/72x72\/"",""ext"":"".png"",""svgUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/svg\/"",""svgExt"":"".svg"",""source"":{""concatemoji"":""http:\/\/blackseatv.com\/wp-includes\/js\/wp-emoji-release.min.js?ver=7313281f96548dbadfbe96ca37c7b66b""}};
			!function(a,b,c){function d(a,b){var c=String.fromCharCode;l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,a),0,0);var d=k.toDataURL();l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,b),0,0);var e=k.toDataURL();return d===e}function e(a){var b;if(!l||!l.fillText)return!1;switch(l.textBaseline=""top"",l.font=""600 32px Arial"",a){case""flag"":return!(b=d([55356,56826,55356,56819],[55356,56826,8203,55356,56819]))&&(b=d([55356,57332,56128,56423,56128,56418,56128,56421,56128,56430,56128,56423,56128,56447],[55356,57332,8203,56128,56423,8203,56128,56418,8203,56128,56421,8203,56128,56430,8203,56128,56423,8203,56128,56447]),!b);case""emoji"":return b=d([55357,56424,55356,57342,8205,55358,56605,8205,55357,56424,55356,57340],[55357,56424,55356,57342,8203,55358,56605,8203,55357,56424,55356,57340]),!b}return!1}function f(a){var c=b.createElement(""script"");c.src=a,c.defer=c.type=""text/javascript"",b.getElementsByTagName(""head"")[0].appendChild(c)}var g,h,i,j,k=b.createElement(""canvas""),l=k.getContext&&k.getContext(""2d"");for(j=Array(""flag"",""emoji""),c.supports={everything:!0,everythingExceptFlag:!0},i=0;i<j.length;i++)c.supports[j[i]]=e(j[i]),c.supports.everything=c.supports.everything&&c.supports[j[i]],""flag""!==j[i]&&(c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&c.supports[j[i]]);c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&!c.supports.flag,c.DOMReady=!1,c.readyCallback=function(){c.DOMReady=!0},c.supports.everything||(h=function(){c.readyCallback()},b.addEventListener?(b.addEventListener(""DOMContentLoaded"",h,!1),a.addEventListener(""load"",h,!1)):(a.attachEvent(""onload"",h),b.attachEvent(""onreadystatechange"",function(){""complete""===b.readyState&&c.readyCallback()})),g=c.source||{},g.concatemoji?f(g.concatemoji):g.wpemoji&&g.twemoji&&(f(g.twemoji),f(g.wpemoji)))}(window,document,window._wpemojiSettings);
		</script>
		<style type=""text/css"">
img.wp-smiley,
img.emoji {
	display: inline !important;
	border: none !important;
	box-shadow: none !important;
	height: 1em !important;
	width: 1em !important;
	margin: 0 .07em !important;
	vertical-align: -0.1em !important;
	background: none !important;
	padding: 0 !important;
}
</style>
	<link rel='stylesheet' id='wp-block-library-css'  href='http://blackseatv.com/wp-includes/css/dist/block-library/style.min.css?ver=7313281f96548dbadfbe96ca37c7b66b' type='text/css' media='all' />
<link rel='stylesheet' id='magnific-popup-au-css'  href='http"
blackseatv.com,10,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 00:26:14 GMT
Server: Apache/2.4.29 (Ubuntu)
X-Frame-Options: DENY
X-Content-Type-Options: nosniff
Set-Cookie: pll_language=ru; expires=Fri, 22-Jan-2021 00:26:14 GMT; Max-Age=31536000; path=/
Link: <http://blackseatv.com/wp-json/>; rel=""https://api.w.org/""
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

20a0
<!DOCTYPE html>
<html lang=""ru-RU"">
<head>
	<meta charset=""UTF-8"" />	
    
<!-- All in One SEO Pack 3.3.4 by Michael Torbert of Semper Fi Web Design[,] -->
<link rel=""next"" href=""http://blackseatv.com/page/2/"" />

<link rel=""canonical"" href=""http://blackseatv.com/"" />
			<script type=""text/javascript"" >
				window.ga=window.ga||function(){(ga.q=ga.q||[]).push(arguments)};ga.l=+new Date;
				ga('create', 'UA-72642145-1', 'auto');
				// Plugins
				
				ga('send', 'pageview');
			</script>
			<script async src=""https://www.google-analytics.com/analytics.js""></script>
			<!-- All in One SEO Pack -->
<link rel=""dns-prefetch"" href=""//connect.facebook.net"" />
<link rel='dns-prefetch' href='//blackseatv.com' />
<link rel='dns-prefetch' href='//connect.facebook.net' />
<link rel='dns-prefetch' href='//s.w.org' />
		<script type=""text/javascript"">
			window._wpemojiSettings = {""baseUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/72x72\/"",""ext"":"".png"",""svgUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/svg\/"",""svgExt"":"".svg"",""source"":{""concatemoji"":""http:\/\/blackseatv.com\/wp-includes\/js\/wp-emoji-release.min.js?ver=7313281f96548dbadfbe96ca37c7b66b""}};
			!function(a,b,c){function d(a,b){var c=String.fromCharCode;l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,a),0,0);var d=k.toDataURL();l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,b),0,0);var e=k.toDataURL();return d===e}function e(a){var b;if(!l||!l.fillText)return!1;switch(l.textBaseline=""top"",l.font=""600 32px Arial"",a){case""flag"":return!(b=d([55356,56826,55356,56819],[55356,56826,8203,55356,56819]))&&(b=d([55356,57332,56128,56423,56128,56418,56128,56421,56128,56430,56128,56423,56128,56447],[55356,57332,8203,56128,56423,8203,56128,56418,8203,56128,56421,8203,56128,56430,8203,56128,56423,8203,56128,56447]),!b);case""emoji"":return b=d([55357,56424,55356,57342,8205,55358,56605,8205,55357,56424,55356,57340],[55357,56424,55356,57342,8203,55358,56605,8203,55357,56424,55356,57340]),!b}return!1}function f(a){var c=b.createElement(""script"");c.src=a,c.defer=c.type=""text/javascript"",b.getElementsByTagName(""head"")[0].appendChild(c)}var g,h,i,j,k=b.createElement(""canvas""),l=k.getContext&&k.getContext(""2d"");for(j=Array(""flag"",""emoji""),c.supports={everything:!0,everythingExceptFlag:!0},i=0;i<j.length;i++)c.supports[j[i]]=e(j[i]),c.supports.everything=c.supports.everything&&c.supports[j[i]],""flag""!==j[i]&&(c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&c.supports[j[i]]);c.supports.everythingExceptFlag=c.supports.everythingExceptFlag&&!c.supports.flag,c.DOMReady=!1,c.readyCallback=function(){c.DOMReady=!0},c.supports.everything||(h=function(){c.readyCallback()},b.addEventListener?(b.addEventListener(""DOMContentLoaded"",h,!1),a.addEventListener(""load"",h,!1)):(a.attachEvent(""onload"",h),b.attachEvent(""onreadystatechange"",function(){""complete""===b.readyState&&c.readyCallback()})),g=c.source||{},g.concatemoji?f(g.concatemoji):g.wpemoji&&g.twemoji&&(f(g.twemoji),f(g.wpemoji)))}(window,document,window._wpemojiSettings);
		</script>
		<style type=""text/css"">
img.wp-smiley,
img.emoji {
	display: inline !important;
	border: none !important;
	box-shadow: none !important;
	height: 1em !important;
	width: 1em !important;
	margin: 0 .07em !important;
	vertical-align: -0.1em !important;
	background: none !important;
	padding: 0 !important;
}
</style>
	<link rel='stylesheet' id='wp-block-library-css'  href='http://blackseatv.com/wp-includes/css/dist/block-library/style.min.css?ver=7313281f96548dbadfbe96ca37c7b66b' type='text/css' media='all' />
<link rel='stylesheet' id='magnific-popup-au-css'  href='http"
