URL,TTL,Message
fairhost.ru,1,timed out
fairhost.ru,2,timed out
fairhost.ru,3,timed out
fairhost.ru,4,timed out
fairhost.ru,5,timed out
fairhost.ru,6,timed out
fairhost.ru,7,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
fairhost.ru,8,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
fairhost.ru,9,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
fairhost.ru,10,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
fairhost.ru,11,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
fairhost.ru,12,"HTTP/1.1 302 Moved Temporarily
Server: nginx/1.5.7
Date: Thu, 23 Jan 2020 01:20:10 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=20
Location: http://217.112.42.66/404

a0
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx/1.5.7</center>
</body>
</html>

0

"
