URL,TTL,Message
haamash.wordpress.com,1,
haamash.wordpress.com,2,
haamash.wordpress.com,3,
haamash.wordpress.com,4,
haamash.wordpress.com,5,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,6,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,7,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,8,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,9,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,10,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,11,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:44 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,12,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,13,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,14,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,15,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,16,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
haamash.wordpress.com,17,"HTTP/1.1 302 Found
Server: nginx
Date: Wed, 22 Jan 2020 22:40:45 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Vary: Cookie
Location: http://en.wordpress.com/typo/?subdomain=ojaloberoi
X-ac: 1.vie _dca 

0

"
