URL,TTL,Message
hateit.ru,1,timed out
hateit.ru,2,timed out
hateit.ru,3,timed out
hateit.ru,4,timed out
hateit.ru,5,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=mj9l4g7s3n0rk9avgiemlatkn1; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,6,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=0tu9dkql9s60qtrlonfldk9ed4; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,7,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=eq8tuggfne1ro60ihmol2p0i91; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,8,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=0l30csg6d7tbk2jgki8i7a20u5; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,9,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=lau3hvd1qgr2ui4ae64osvioo0; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,10,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 22:30:57 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=h52v7eine90boa1cdejcds0pl2; expires=Sat, 15-Feb-2020 02:04:17 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
